,k,network_n,search_n,jumps
318,3,3,18,1
319,3,3,19,2
320,3,3,20,1
321,3,3,21,2
322,3,3,22,1
323,3,3,23,1
324,3,3,24,0
325,3,3,25,1
326,3,3,26,2
327,3,3,27,0
328,3,3,28,0
329,3,3,29,1
330,3,3,30,1
331,3,3,31,1
332,3,3,32,2
333,3,3,33,0
334,3,3,34,0
335,3,3,35,1
336,3,3,36,1
337,3,3,37,2
338,3,3,38,1
339,3,3,39,0
340,3,3,40,0
341,3,3,41,1
342,3,3,42,0
343,3,3,43,2
344,3,3,44,2
345,3,3,45,1
346,3,3,46,2
347,3,3,47,2
348,3,3,48,1
349,3,3,49,1
350,3,3,50,2
351,3,3,51,0
352,3,3,52,1
353,3,3,53,1
354,3,3,54,2
355,3,3,55,2
356,3,3,56,2
357,3,3,57,1
358,3,3,58,2
359,3,3,59,1
360,3,3,60,0
361,3,3,61,1
362,3,3,62,1
363,3,3,63,0
364,3,3,64,0
365,3,3,65,0
366,3,3,66,1
367,3,3,67,2
368,3,3,68,0
369,3,3,69,0
370,3,3,70,2
371,3,3,71,2
372,3,3,72,1
373,3,3,73,0
374,3,3,74,2
375,3,3,75,1
376,3,3,76,0
377,3,3,77,2
378,3,3,78,2
379,3,3,79,2
380,3,3,80,1
381,3,3,81,2
382,3,3,82,1
383,3,3,83,1
384,3,3,84,0
385,3,3,85,0
386,3,3,86,1
387,3,3,87,1
388,3,3,88,2
389,3,3,89,2
390,3,3,90,1
391,3,3,91,2
392,3,3,92,2
393,3,3,93,0
394,3,3,94,0
395,3,3,95,1
396,3,3,96,0
397,3,3,97,0
398,3,3,98,0
399,3,3,99,1
400,3,4,0,0
401,3,4,1,2
402,3,4,2,1
403,3,4,3,1
404,3,4,4,2
405,3,4,5,1
406,3,4,6,2
407,3,4,7,0
408,3,4,8,1
409,3,4,9,2
410,3,4,10,2
411,3,4,11,0
412,3,4,12,2
413,3,4,13,1
414,3,4,14,0
415,3,4,15,0
416,3,4,16,2
417,3,4,17,2
418,3,4,18,0
419,3,4,19,0
420,3,4,20,1
421,3,4,21,2
422,3,4,22,1
423,3,4,23,1
424,3,4,24,0
425,3,4,25,2
426,3,4,26,1
427,3,4,27,2
428,3,4,28,0
429,3,4,29,1
430,3,4,30,0
431,3,4,31,1
432,3,4,32,2
433,3,4,33,0
434,3,4,34,2
435,3,4,35,1
436,3,4,36,1
437,3,4,37,1
438,3,4,38,1
439,3,4,39,1
440,3,4,40,1
441,3,4,41,0
442,3,4,42,2
443,3,4,43,0
444,3,4,44,2
445,3,4,45,1
446,3,4,46,2
447,3,4,47,2
448,3,4,48,1
449,3,4,49,1
450,3,4,50,0
451,3,4,51,0
452,3,4,52,1
453,3,4,53,2
454,3,4,54,1
455,3,4,55,0
456,3,4,56,0
457,3,4,57,2
458,3,4,58,2
459,3,4,59,0
460,3,4,60,0
461,3,4,61,0
462,3,4,62,0
463,3,4,63,1
464,3,4,64,0
465,3,4,65,2
466,3,4,66,2
467,3,4,67,0
468,3,4,68,2
469,3,4,69,0
470,3,4,70,0
471,3,4,71,2
472,3,4,72,2
473,3,4,73,2
474,3,4,74,1
475,3,4,75,2
476,3,4,76,1
477,3,4,77,2
478,3,4,78,1
479,3,4,79,2
480,3,4,80,0
481,3,4,81,2
482,3,4,82,2
483,3,4,83,2
484,3,4,84,0
485,3,4,85,2
486,3,4,86,2
487,3,4,87,0
488,3,4,88,2
489,3,4,89,2
490,3,4,90,2
491,3,4,91,0
492,3,4,92,1
493,3,4,93,0
494,3,4,94,2
495,3,4,95,0
496,3,4,96,1
497,3,4,97,0
498,3,4,98,1
499,3,4,99,0
500,3,5,0,1
501,3,5,1,1
502,3,5,2,2
503,3,5,3,1
504,3,5,4,2
505,3,5,5,1
506,3,5,6,0
507,3,5,7,1
508,3,5,8,2
509,3,5,9,1
510,3,5,10,2
511,3,5,11,2
512,3,5,12,0
513,3,5,13,0
514,3,5,14,0
515,3,5,15,2
516,3,5,16,1
517,3,5,17,1
518,3,5,18,2
519,3,5,19,0
520,3,5,20,0
521,3,5,21,1
522,3,5,22,0
523,3,5,23,2
524,3,5,24,1
525,3,5,25,0
526,3,5,26,0
527,3,5,27,0
528,3,5,28,2
529,3,5,29,1
530,3,5,30,0
531,3,5,31,1
532,3,5,32,2
533,3,5,33,1
534,3,5,34,2
535,3,5,35,2
536,3,5,36,2
537,3,5,37,2
538,3,5,38,1
539,3,5,39,0
540,3,5,40,0
541,3,5,41,1
542,3,5,42,0
543,3,5,43,2
544,3,5,44,0
545,3,5,45,0
546,3,5,46,1
547,3,5,47,1
548,3,5,48,2
549,3,5,49,1
550,3,5,50,0
551,3,5,51,0
552,3,5,52,2
553,3,5,53,1
554,3,5,54,0
555,3,5,55,1
556,3,5,56,1
557,3,5,57,0
558,3,5,58,2
559,3,5,59,1
560,3,5,60,0
561,3,5,61,2
562,3,5,62,2
563,3,5,63,1
564,3,5,64,0
565,3,5,65,1
566,3,5,66,2
567,3,5,67,2
568,3,5,68,1
569,3,5,69,2
570,3,5,70,2
571,3,5,71,1
572,3,5,72,2
573,3,5,73,0
574,3,5,74,1
575,3,5,75,2
576,3,5,76,1
577,3,5,77,0
578,3,5,78,1
579,3,5,79,1
580,3,5,80,2
581,3,5,81,0
582,3,5,82,0
583,3,5,83,1
584,3,5,84,0
585,3,5,85,1
586,3,5,86,0
587,3,5,87,0
588,3,5,88,1
589,3,5,89,0
590,3,5,90,1
591,3,5,91,2
592,3,5,92,0
593,3,5,93,0
594,3,5,94,0
595,3,5,95,1
596,3,5,96,0
597,3,5,97,0
598,3,5,98,1
599,3,5,99,0
600,3,6,0,1
601,3,6,1,0
602,3,6,2,1
603,3,6,3,0
604,3,6,4,1
605,3,6,5,0
606,3,6,6,0
607,3,6,7,2
608,3,6,8,2
609,3,6,9,0
610,3,6,10,0
611,3,6,11,0
612,3,6,12,0
613,3,6,13,1
614,3,6,14,1
615,3,6,15,0
616,3,6,16,0
617,3,6,17,2
618,3,6,18,0
619,3,6,19,1
620,3,6,20,2
621,3,6,21,2
622,3,6,22,2
623,3,6,23,0
624,3,6,24,1
625,3,6,25,2
626,3,6,26,1
627,3,6,27,1
628,3,6,28,1
629,3,6,29,0
630,3,6,30,0
631,3,6,31,2
632,3,6,32,0
633,3,6,33,2
634,3,6,34,1
635,3,6,35,1
636,3,6,36,1
637,3,6,37,0
638,3,6,38,2
639,3,6,39,2
640,3,6,40,1
641,3,6,41,2
642,3,6,42,1
643,3,6,43,0
644,3,6,44,2
645,3,6,45,2
646,3,6,46,0
647,3,6,47,1
648,3,6,48,0
649,3,6,49,1
650,3,6,50,0
651,3,6,51,0
652,3,6,52,2
653,3,6,53,0
654,3,6,54,1
655,3,6,55,0
656,3,6,56,2
657,3,6,57,2
658,3,6,58,0
659,3,6,59,1
660,3,6,60,1
661,3,6,61,1
662,3,6,62,1
663,3,6,63,2
664,3,6,64,1
665,3,6,65,0
666,3,6,66,0
667,3,6,67,0
668,3,6,68,0
669,3,6,69,0
670,3,6,70,2
671,3,6,71,2
672,3,6,72,0
673,3,6,73,0
674,3,6,74,0
675,3,6,75,2
676,3,6,76,1
677,3,6,77,1
678,3,6,78,0
679,3,6,79,1
680,3,6,80,2
681,3,6,81,2
682,3,6,82,2
683,3,6,83,2
684,3,6,84,0
685,3,6,85,1
686,3,6,86,1
687,3,6,87,2
688,3,6,88,0
689,3,6,89,1
690,3,6,90,1
691,3,6,91,0
692,3,6,92,2
693,3,6,93,1
694,3,6,94,0
695,3,6,95,2
696,3,6,96,0
697,3,6,97,0
698,3,6,98,0
699,3,6,99,2
700,3,7,0,1
701,3,7,1,2
702,3,7,2,2
703,3,7,3,0
704,3,7,4,2
