,k,network_n,search_n,jumps
318,3,3,18,3
319,3,3,19,3
320,3,3,20,0
321,3,3,21,3
322,3,3,22,3
323,3,3,23,3
324,3,3,24,3
325,3,3,25,3
326,3,3,26,2
327,3,3,27,3
328,3,3,28,2
329,3,3,29,3
330,3,3,30,0
331,3,3,31,3
332,3,3,32,3
333,3,3,33,2
334,3,3,34,3
335,3,3,35,2
336,3,3,36,0
337,3,3,37,2
338,3,3,38,2
339,3,3,39,0
340,3,3,40,3
341,3,3,41,3
342,3,3,42,3
343,3,3,43,1
344,3,3,44,3
345,3,3,45,0
346,3,3,46,2
347,3,3,47,3
348,3,3,48,3
349,3,3,49,2
350,3,3,50,2
351,3,3,51,2
352,3,3,52,3
353,3,3,53,3
354,3,3,54,2
355,3,3,55,1
356,3,3,56,3
357,3,3,57,0
358,3,3,58,3
359,3,3,59,2
360,3,3,60,2
361,3,3,61,3
362,3,3,62,3
363,3,3,63,3
364,3,3,64,2
365,3,3,65,3
366,3,3,66,3
367,3,3,67,1
368,3,3,68,0
369,3,3,69,1
370,3,3,70,0
371,3,3,71,1
372,3,3,72,2
373,3,3,73,1
374,3,3,74,1
375,3,3,75,2
376,3,3,76,0
377,3,3,77,1
378,3,3,78,2
379,3,3,79,2
380,3,3,80,2
381,3,3,81,2
382,3,3,82,0
383,3,3,83,2
384,3,3,84,3
385,3,3,85,1
386,3,3,86,3
387,3,3,87,0
388,3,3,88,3
389,3,3,89,2
390,3,3,90,3
391,3,3,91,3
392,3,3,92,3
393,3,3,93,2
394,3,3,94,1
395,3,3,95,3
396,3,3,96,0
397,3,3,97,1
398,3,3,98,3
399,3,3,99,2
400,3,4,0,3
401,3,4,1,1
402,3,4,2,3
403,3,4,3,2
404,3,4,4,2
405,3,4,5,3
406,3,4,6,3
407,3,4,7,3
408,3,4,8,3
409,3,4,9,3
410,3,4,10,3
411,3,4,11,2
412,3,4,12,3
413,3,4,13,2
414,3,4,14,1
415,3,4,15,1
416,3,4,16,2
417,3,4,17,2
418,3,4,18,3
419,3,4,19,2
420,3,4,20,2
421,3,4,21,2
422,3,4,22,2
423,3,4,23,0
424,3,4,24,3
425,3,4,25,2
426,3,4,26,1
427,3,4,27,3
428,3,4,28,2
429,3,4,29,3
430,3,4,30,2
431,3,4,31,2
432,3,4,32,1
433,3,4,33,3
434,3,4,34,1
435,3,4,35,2
436,3,4,36,3
437,3,4,37,2
438,3,4,38,2
439,3,4,39,2
440,3,4,40,2
441,3,4,41,3
442,3,4,42,1
443,3,4,43,2
444,3,4,44,3
445,3,4,45,1
446,3,4,46,2
447,3,4,47,3
448,3,4,48,3
449,3,4,49,2
450,3,4,50,3
451,3,4,51,3
452,3,4,52,2
453,3,4,53,1
454,3,4,54,0
455,3,4,55,2
456,3,4,56,2
457,3,4,57,3
458,3,4,58,2
459,3,4,59,1
460,3,4,60,3
461,3,4,61,0
462,3,4,62,2
463,3,4,63,3
464,3,4,64,3
465,3,4,65,2
466,3,4,66,1
467,3,4,67,3
468,3,4,68,1
469,3,4,69,3
470,3,4,70,2
471,3,4,71,3
472,3,4,72,2
473,3,4,73,3
474,3,4,74,2
475,3,4,75,2
476,3,4,76,2
477,3,4,77,1
478,3,4,78,3
479,3,4,79,3
480,3,4,80,3
481,3,4,81,3
482,3,4,82,3
483,3,4,83,3
484,3,4,84,3
485,3,4,85,0
486,3,4,86,1
487,3,4,87,2
488,3,4,88,3
489,3,4,89,3
490,3,4,90,2
491,3,4,91,1
492,3,4,92,1
493,3,4,93,2
494,3,4,94,1
495,3,4,95,2
496,3,4,96,1
497,3,4,97,2
498,3,4,98,3
499,3,4,99,0
500,3,5,0,2
501,3,5,1,1
502,3,5,2,3
503,3,5,3,2
504,3,5,4,3
505,3,5,5,3
506,3,5,6,2
507,3,5,7,0
508,3,5,8,3
509,3,5,9,3
510,3,5,10,2
511,3,5,11,0
512,3,5,12,3
513,3,5,13,0
514,3,5,14,2
515,3,5,15,2
516,3,5,16,0
517,3,5,17,2
518,3,5,18,2
519,3,5,19,1
520,3,5,20,1
521,3,5,21,3
522,3,5,22,2
523,3,5,23,3
524,3,5,24,3
525,3,5,25,2
526,3,5,26,1
527,3,5,27,0
528,3,5,28,3
529,3,5,29,1
530,3,5,30,2
531,3,5,31,3
532,3,5,32,3
533,3,5,33,1
534,3,5,34,2
535,3,5,35,2
536,3,5,36,3
537,3,5,37,3
538,3,5,38,2
539,3,5,39,1
540,3,5,40,0
541,3,5,41,2
542,3,5,42,3
543,3,5,43,2
544,3,5,44,2
545,3,5,45,2
546,3,5,46,2
547,3,5,47,2
548,3,5,48,1
549,3,5,49,3
550,3,5,50,0
551,3,5,51,3
552,3,5,52,2
553,3,5,53,3
554,3,5,54,2
555,3,5,55,3
556,3,5,56,1
557,3,5,57,0
558,3,5,58,3
559,3,5,59,2
560,3,5,60,1
561,3,5,61,3
562,3,5,62,3
563,3,5,63,0
564,3,5,64,0
565,3,5,65,1
566,3,5,66,3
567,3,5,67,3
568,3,5,68,0
