,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,815,0,0,815,814,815.0,0.0,log
1,1,1,0,0,0,0,815,814,815.0,0.0,log
2,2,2,1,42,0,0,42,41,42.0,0.0,log
3,3,2,0,0,0,0,42,41,42.0,0.0,log
4,4,2,0,0,0,0,815,814,815.0,0.0,log
5,5,3,1,304,0,0,304,303,304.0,0.0,log
6,6,4,1,504,0,0,42,303,304.0,1.0,log
7,7,4,0,0,0,0,504,503,504.0,0.0,log
8,8,5,1,108,0,0,815,107,108.0,2.0,log
9,9,5,0,0,0,0,504,41,42.0,2.0,log
10,10,6,1,280,0,0,280,107,108.0,3.0,log
11,11,6,0,0,0,0,108,279,280.0,1.0,log
12,12,6,0,0,0,0,108,303,304.0,2.0,log
13,13,6,0,0,0,0,108,814,815.0,2.0,log
14,14,6,0,0,0,0,504,303,304.0,3.0,log
15,15,6,0,0,0,0,108,503,504.0,2.0,log
16,16,7,1,938,0,0,815,303,304.0,3.0,log
17,17,8,1,856,0,0,280,814,815.0,3.0,log
18,18,9,1,32,0,0,815,937,938.0,2.0,log
19,19,9,0,0,0,0,815,814,815.0,0.0,log
20,20,10,1,131,0,0,42,279,280.0,3.0,log
21,21,11,1,245,0,0,32,31,32.0,0.0,log
22,22,11,0,0,0,0,131,279,280.0,2.0,log
23,23,11,0,0,0,0,504,279,280.0,4.0,log
24,24,12,1,150,0,0,938,107,108.0,2.0,log
25,25,13,1,774,0,0,815,41,,,not_found
26,26,14,1,753,0,0,774,303,304.0,5.0,log
27,27,14,0,0,0,0,774,752,753.0,4.0,log
28,28,15,1,522,0,0,32,773,774.0,4.0,log
29,29,15,0,0,0,0,245,41,42.0,5.0,log
30,30,16,1,744,0,0,753,279,280.0,5.0,log
31,31,16,0,0,0,0,150,743,744.0,3.0,log
32,32,17,1,549,0,0,245,855,856.0,3.0,log
33,33,17,0,0,0,0,938,521,522.0,2.0,log
34,34,17,0,0,0,0,549,773,774.0,3.0,log
35,35,17,0,0,0,0,744,503,504.0,4.0,log
36,36,18,1,574,0,0,522,548,549.0,1.0,log
