,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,250,0,0,250,249,250.0,0.0,log
1,1,2,1,450,0,0,250,449,450.0,1.0,log
2,2,3,1,394,0,0,394,393,394.0,0.0,log
3,3,3,0,0,0,0,450,249,250.0,1.0,log
4,4,4,1,256,0,0,394,449,450.0,1.0,log
5,5,4,0,0,0,0,250,249,250.0,0.0,log
6,6,5,1,230,0,0,256,229,230.0,3.0,log
7,7,5,0,0,0,0,230,393,394.0,3.0,log
8,8,6,1,498,0,0,450,249,250.0,2.0,log
9,9,7,1,243,0,0,243,255,256.0,2.0,log
10,10,7,0,0,0,0,450,497,498.0,1.0,log
11,11,7,0,0,0,0,498,255,256.0,3.0,log
12,12,8,1,92,0,0,250,242,243.0,2.0,log
13,13,8,0,0,0,0,243,91,92.0,4.0,log
14,14,8,0,0,0,0,250,393,394.0,2.0,log
15,15,9,1,361,0,0,92,91,92.0,0.0,log
16,16,10,1,102,0,0,250,101,102.0,2.0,log
17,17,11,1,366,0,0,92,255,256.0,3.0,log
18,18,12,1,246,0,0,366,249,250.0,5.0,log
19,19,13,1,501,0,0,102,255,256.0,3.0,log
20,20,13,0,0,0,0,246,255,256.0,2.0,log
21,21,13,0,0,0,0,361,101,102.0,3.0,log
22,22,13,0,0,0,0,394,91,92.0,3.0,log
23,23,13,0,0,0,0,243,449,450.0,2.0,log
24,24,14,1,68,0,0,230,67,68.0,3.0,log
25,25,15,1,319,0,0,230,449,450.0,3.0,log
26,26,16,1,28,0,0,256,255,256.0,0.0,log
27,27,17,1,147,0,0,28,393,394.0,4.0,log
28,28,18,1,120,0,0,28,91,92.0,2.0,log
29,29,18,0,0,0,0,366,91,92.0,3.0,log
30,30,18,0,0,0,0,230,393,394.0,3.0,log
31,31,19,1,24,0,0,361,497,498.0,0.0,log
32,32,20,1,244,0,0,450,119,120.0,4.0,log
33,33,20,0,0,0,0,147,23,24.0,4.0,log
34,34,20,0,0,0,0,147,500,501.0,3.0,log
35,35,21,1,378,0,0,120,249,250.0,4.0,log
36,36,21,0,0,0,0,501,245,246.0,5.0,log
37,37,22,1,52,0,0,68,449,450.0,3.0,log
38,38,23,1,221,0,0,243,500,501.0,4.0,log
39,39,24,1,202,0,0,378,360,361.0,4.0,log
40,40,24,0,0,0,0,52,360,361.0,2.0,log
41,41,24,0,0,0,0,52,243,244.0,5.0,log
42,42,24,0,0,0,0,361,201,202.0,3.0,log
43,43,24,0,0,0,0,120,229,230.0,4.0,log
44,44,24,0,0,0,0,378,242,243.0,3.0,log
45,45,24,0,0,0,0,256,377,378.0,3.0,log
46,46,25,1,64,0,0,498,449,450.0,4.0,log
47,47,26,1,447,0,0,64,51,52.0,6.0,log
48,48,26,0,0,0,0,498,497,498.0,0.0,log
49,49,26,0,0,0,0,498,377,378.0,5.0,log
50,50,26,0,0,0,0,28,201,202.0,3.0,log
51,51,26,0,0,0,0,147,51,52.0,5.0,log
52,52,26,0,0,0,0,244,449,450.0,4.0,log
53,53,26,0,0,0,0,366,360,361.0,4.0,log
54,54,26,0,0,0,0,102,255,256.0,4.0,log
55,55,27,1,39,0,0,92,201,202.0,2.0,log
56,56,28,1,216,0,0,394,91,92.0,4.0,log
57,57,29,1,448,0,0,319,146,147.0,4.0,log
58,58,30,1,277,0,0,52,146,147.0,2.0,log
59,59,30,0,0,0,0,246,146,147.0,4.0,log
60,60,31,1,71,0,0,120,201,202.0,2.0,log
61,61,31,0,0,0,0,71,91,92.0,1.0,log
62,62,32,1,315,0,0,378,449,450.0,3.0,log
63,63,33,1,168,0,0,230,167,168.0,4.0,log
64,64,34,1,213,0,0,71,51,52.0,6.0,log
65,65,35,1,66,0,0,450,365,366.0,3.0,log
66,66,35,0,0,0,0,244,243,244.0,0.0,log
67,67,36,1,50,0,0,216,276,277.0,3.0,log
68,68,37,1,430,0,0,216,245,246.0,3.0,log
69,69,38,1,397,0,0,24,38,39.0,2.0,log
70,70,38,0,0,0,0,243,393,394.0,2.0,log
71,71,38,0,0,0,0,450,249,250.0,4.0,log
72,72,39,1,22,0,0,28,255,256.0,4.0,log
73,73,40,1,184,0,0,24,276,277.0,4.0,log
74,74,40,0,0,0,0,243,360,361.0,3.0,log
75,75,40,0,0,0,0,168,360,361.0,3.0,log
76,76,40,0,0,0,0,64,220,221.0,4.0,log
77,77,41,1,385,0,0,430,393,394.0,5.0,log
78,78,41,0,0,0,0,501,384,385.0,3.0,log
79,79,42,1,166,0,0,52,446,447.0,4.0,log
80,80,43,1,424,0,0,366,276,277.0,4.0,log
81,81,44,1,308,0,0,397,212,213.0,4.0,log
82,82,44,0,0,0,0,244,23,24.0,3.0,log
83,83,45,1,75,0,0,22,201,202.0,4.0,log
84,84,45,0,0,0,0,243,65,66.0,3.0,log
85,85,46,1,395,0,0,246,21,22.0,5.0,log
86,86,46,0,0,0,0,243,242,243.0,0.0,log
87,87,47,1,494,0,0,52,255,256.0,3.0,log
88,88,47,0,0,0,0,39,101,102.0,3.0,log
89,89,48,1,435,0,0,395,396,397.0,1.0,log
90,90,48,0,0,0,0,315,307,308.0,4.0,log
91,91,49,1,224,0,0,244,276,277.0,2.0,log
92,92,50,1,100,0,0,394,91,92.0,4.0,log
93,93,51,1,116,0,0,147,307,308.0,2.0,log
94,94,52,1,379,0,0,102,378,379.0,3.0,log
95,95,53,1,356,0,0,448,101,102.0,4.0,log
96,96,53,0,0,0,0,246,493,494.0,4.0,log
97,97,54,1,253,0,0,361,355,356.0,6.0,log
98,98,55,1,73,0,0,52,434,435.0,5.0,log
99,99,55,0,0,0,0,71,201,202.0,3.0,log
100,100,56,1,231,0,0,435,70,71.0,3.0,log
101,101,56,0,0,0,0,395,360,361.0,4.0,log
102,102,57,1,304,0,0,230,423,424.0,4.0,log
103,103,57,0,0,0,0,243,314,315.0,2.0,log
104,104,58,1,162,0,0,224,314,,,not_found
105,105,59,1,80,0,0,379,220,221.0,4.0,log
106,106,60,1,371,0,0,52,370,371.0,4.0,log
107,107,60,0,0,0,0,304,23,24.0,4.0,log
108,108,61,1,443,0,0,24,223,224.0,5.0,log
109,109,61,0,0,0,0,22,252,253.0,6.0,log
110,110,61,0,0,0,0,494,115,116.0,5.0,log
111,111,62,1,490,0,0,162,220,221.0,5.0,log
112,112,62,0,0,0,0,371,79,80.0,5.0,log
113,113,63,1,29,0,0,80,307,308.0,4.0,log
114,114,63,0,0,0,0,277,245,246.0,6.0,log
115,115,63,0,0,0,0,92,229,230.0,3.0,log
116,116,64,1,469,0,0,244,393,394.0,3.0,log
117,117,65,1,84,0,0,494,393,394.0,5.0,log
118,118,65,0,0,0,0,378,223,224.0,4.0,log
119,119,65,0,0,0,0,371,243,244.0,5.0,log
120,120,65,0,0,0,0,202,119,120.0,3.0,log
121,121,65,0,0,0,0,397,497,498.0,4.0,log
122,122,66,1,198,0,0,66,423,424.0,4.0,log
123,123,66,0,0,0,0,435,497,498.0,4.0,log
124,124,67,1,97,0,0,447,468,469.0,2.0,log
125,125,68,1,267,0,0,448,70,,,not_found
126,126,68,0,0,0,0,395,23,24.0,2.0,log
127,127,69,1,316,0,0,29,79,80.0,4.0,log
128,128,69,0,0,0,0,213,230,231.0,2.0,log
129,129,69,0,0,0,0,75,497,498.0,4.0,log
130,130,70,1,341,0,0,385,115,116.0,5.0,log
131,131,71,1,176,0,0,385,394,395.0,2.0,log
132,132,71,0,0,0,0,277,51,52.0,4.0,log
133,133,72,1,200,0,0,184,447,448.0,3.0,log
134,134,73,1,336,0,0,469,21,22.0,2.0,log
135,135,73,0,0,0,0,224,314,315.0,3.0,log
136,136,74,1,99,0,0,385,307,308.0,4.0,log
137,137,74,0,0,0,0,356,303,304.0,5.0,log
138,138,75,1,249,0,0,315,215,216.0,4.0,log
139,139,76,1,79,0,0,498,266,267.0,4.0,log
140,140,76,0,0,0,0,230,21,22.0,4.0,log
141,141,77,1,87,0,0,378,161,162.0,2.0,log
142,142,78,1,340,0,0,490,98,99.0,5.0,log
143,143,78,0,0,0,0,308,199,200.0,4.0,log
144,144,79,1,407,0,0,162,393,394.0,5.0,log
145,145,80,1,472,0,0,92,276,277.0,4.0,log
146,146,80,0,0,0,0,92,315,316.0,4.0,log
147,147,81,1,420,0,0,435,396,397.0,5.0,log
148,148,82,1,495,0,0,147,165,166.0,2.0,log
149,149,82,0,0,0,0,341,243,244.0,4.0,log
150,150,82,0,0,0,0,99,393,394.0,4.0,log
151,151,83,1,227,0,0,64,23,24.0,4.0,log
152,152,84,1,409,0,0,304,79,80.0,5.0,log
153,153,85,1,53,0,0,443,74,75.0,3.0,log
154,154,86,1,158,0,0,494,365,366.0,6.0,log
155,155,87,1,218,0,0,221,175,176.0,6.0,log
156,156,87,0,0,0,0,176,27,28.0,5.0,log
157,157,87,0,0,0,0,200,468,469.0,6.0,log
158,158,88,1,283,0,0,71,157,158.0,2.0,log
159,159,89,1,214,0,0,397,266,267.0,5.0,log
160,160,89,0,0,0,0,409,252,253.0,6.0,log
161,161,89,0,0,0,0,99,21,22.0,5.0,log
162,162,89,0,0,0,0,394,98,99.0,4.0,log
163,163,90,1,370,0,0,246,230,231.0,5.0,log
