,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,1.0,1.0,1.0,778.0,0.0,0.0,778.0,777.0,778.0,0.0,log
2,2.0,1.0,0.0,0.0,0.0,0.0,778.0,777.0,778.0,0.0,log
3,3.0,1.0,1.0,990.0,1.0,990.0,778.0,777.0,778.0,0.0,log
4,4.0,2.0,1.0,1017.0,0.0,0.0,778.0,777.0,778.0,0.0,log
5,5.0,3.0,1.0,332.0,0.0,0.0,778.0,331.0,332.0,2.0,log
6,6.0,4.0,1.0,809.0,0.0,0.0,778.0,331.0,332.0,2.0,log
7,7.0,4.0,1.0,427.0,1.0,1017.0,427.0,777.0,778.0,1.0,log
8,8.0,5.0,1.0,745.0,0.0,0.0,332.0,777.0,778.0,3.0,log
9,9.0,5.0,0.0,0.0,0.0,0.0,809.0,808.0,809.0,0.0,log
10,10.0,6.0,1.0,119.0,0.0,0.0,427.0,331.0,332.0,5.0,lin
11,11.0,6.0,0.0,0.0,0.0,0.0,332.0,331.0,332.0,0.0,log
12,12.0,7.0,1.0,866.0,0.0,0.0,809.0,777.0,778.0,3.0,log
13,13.0,7.0,0.0,0.0,0.0,0.0,745.0,744.0,745.0,0.0,log
14,14.0,7.0,0.0,0.0,0.0,0.0,332.0,808.0,809.0,2.0,log
15,15.0,6.0,0.0,0.0,1.0,809.0,427.0,865.0,866.0,3.0,lin
16,16.0,6.0,0.0,0.0,0.0,0.0,778.0,426.0,427.0,2.0,log
17,17.0,6.0,1.0,191.0,1.0,427.0,745.0,118.0,119.0,3.0,log
18,18.0,7.0,1.0,194.0,0.0,0.0,119.0,193.0,194.0,2.0,log
19,19.0,8.0,1.0,282.0,0.0,0.0,745.0,865.0,866.0,2.0,lin
20,20.0,9.0,1.0,26.0,0.0,0.0,26.0,193.0,194.0,3.0,log
21,21.0,8.0,0.0,0.0,1.0,26.0,119.0,744.0,745.0,5.0,lin
22,22.0,9.0,1.0,75.0,0.0,0.0,282.0,281.0,282.0,0.0,log
23,23.0,10.0,1.0,70.0,0.0,0.0,194.0,190.0,191.0,3.0,log
24,24.0,11.0,1.0,438.0,0.0,0.0,119.0,865.0,866.0,0.0,log
25,25.0,12.0,1.0,600.0,0.0,0.0,745.0,74.0,75.0,0.0,log
26,26.0,12.0,0.0,0.0,0.0,0.0,75.0,437.0,438.0,6.0,lin
27,27.0,13.0,1.0,400.0,0.0,0.0,70.0,281.0,282.0,5.0,log
28,28.0,13.0,0.0,0.0,0.0,0.0,866.0,69.0,70.0,1.0,lin
29,29.0,14.0,1.0,297.0,0.0,0.0,332.0,437.0,438.0,0.0,log
30,30.0,15.0,1.0,506.0,0.0,0.0,119.0,193.0,194.0,2.0,log
31,31.0,16.0,1.0,1002.0,0.0,0.0,332.0,193.0,194.0,4.0,log
32,32.0,17.0,1.0,471.0,0.0,0.0,1002.0,118.0,119.0,3.0,log
33,33.0,17.0,0.0,0.0,0.0,0.0,438.0,193.0,194.0,4.0,log
34,34.0,17.0,1.0,639.0,1.0,438.0,639.0,281.0,,,not_found
35,35.0,17.0,0.0,0.0,0.0,0.0,1002.0,470.0,471.0,0.0,log
36,36.0,18.0,1.0,428.0,0.0,0.0,778.0,190.0,,,not_found
37,37.0,19.0,1.0,104.0,0.0,0.0,332.0,118.0,119.0,5.0,log
38,38.0,18.0,0.0,0.0,1.0,600.0,332.0,190.0,191.0,3.0,log
39,39.0,17.0,0.0,0.0,1.0,428.0,400.0,744.0,745.0,4.0,lin
40,40.0,17.0,1.0,724.0,1.0,297.0,745.0,103.0,104.0,4.0,log
41,41.0,18.0,1.0,877.0,0.0,0.0,191.0,1001.0,1002.0,4.0,log
42,42.0,19.0,1.0,146.0,0.0,0.0,191.0,193.0,194.0,1.0,log
43,43.0,18.0,0.0,0.0,1.0,104.0,75.0,281.0,282.0,3.0,log
44,44.0,19.0,1.0,875.0,0.0,0.0,745.0,723.0,724.0,5.0,log
45,45.0,20.0,1.0,361.0,0.0,0.0,194.0,744.0,745.0,5.0,log
46,46.0,20.0,1.0,793.0,1.0,191.0,119.0,1001.0,1002.0,5.0,log
47,47.0,19.0,0.0,0.0,1.0,745.0,793.0,331.0,332.0,11.0,lin
48,48.0,20.0,1.0,33.0,0.0,0.0,194.0,470.0,471.0,3.0,log
49,49.0,21.0,1.0,956.0,0.0,0.0,146.0,74.0,75.0,3.0,log
50,50.0,21.0,0.0,0.0,0.0,0.0,1002.0,723.0,724.0,3.0,log
51,51.0,21.0,1.0,672.0,1.0,875.0,639.0,777.0,778.0,3.0,lin
52,52.0,22.0,1.0,654.0,0.0,0.0,793.0,955.0,956.0,3.0,lin
53,53.0,22.0,1.0,50.0,1.0,33.0,70.0,1001.0,1002.0,5.0,log
54,54.0,23.0,1.0,674.0,0.0,0.0,1002.0,723.0,724.0,5.0,log
55,55.0,23.0,0.0,0.0,0.0,0.0,282.0,673.0,674.0,3.0,log
56,56.0,23.0,1.0,339.0,1.0,361.0,146.0,671.0,672.0,4.0,log
57,57.0,24.0,1.0,198.0,0.0,0.0,506.0,876.0,877.0,9.0,lin
58,58.0,25.0,1.0,942.0,0.0,0.0,146.0,338.0,339.0,3.0,log
59,59.0,26.0,1.0,303.0,0.0,0.0,282.0,145.0,,,not_found
60,60.0,26.0,1.0,349.0,1.0,339.0,194.0,69.0,70.0,4.0,log
61,61.0,27.0,1.0,277.0,0.0,0.0,70.0,281.0,282.0,5.0,log
62,62.0,28.0,1.0,873.0,0.0,0.0,942.0,505.0,506.0,2.0,log
63,63.0,28.0,1.0,906.0,1.0,639.0,793.0,865.0,866.0,1.0,log
64,64.0,29.0,1.0,850.0,0.0,0.0,332.0,145.0,146.0,3.0,log
65,65.0,29.0,0.0,0.0,0.0,0.0,119.0,941.0,942.0,2.0,log
66,66.0,29.0,0.0,0.0,0.0,0.0,672.0,145.0,146.0,5.0,log
67,67.0,30.0,1.0,484.0,0.0,0.0,724.0,193.0,194.0,4.0,log
68,68.0,31.0,1.0,160.0,0.0,0.0,194.0,849.0,850.0,3.0,log
69,69.0,32.0,1.0,114.0,0.0,0.0,119.0,876.0,877.0,4.0,log
70,70.0,32.0,0.0,0.0,0.0,0.0,198.0,671.0,672.0,3.0,log
71,71.0,32.0,1.0,814.0,1.0,471.0,277.0,281.0,282.0,1.0,log
72,72.0,32.0,0.0,0.0,0.0,0.0,672.0,792.0,793.0,2.0,log
73,73.0,32.0,1.0,453.0,1.0,942.0,674.0,483.0,484.0,28.0,lin
74,74.0,33.0,1.0,1010.0,0.0,0.0,724.0,113.0,114.0,5.0,log
75,75.0,34.0,1.0,61.0,0.0,0.0,866.0,905.0,906.0,2.0,log
76,76.0,35.0,1.0,99.0,0.0,0.0,850.0,849.0,850.0,0.0,log
77,77.0,34.0,0.0,0.0,1.0,198.0,453.0,483.0,484.0,1.0,log
78,78.0,35.0,1.0,622.0,0.0,0.0,1010.0,302.0,303.0,3.0,log
79,79.0,35.0,0.0,0.0,0.0,0.0,400.0,653.0,654.0,4.0,log
80,80.0,35.0,0.0,0.0,0.0,0.0,850.0,281.0,282.0,4.0,log
81,81.0,36.0,1.0,377.0,0.0,0.0,114.0,60.0,61.0,4.0,log
82,82.0,37.0,1.0,1014.0,0.0,0.0,506.0,865.0,866.0,3.0,log
83,83.0,38.0,1.0,1018.0,0.0,0.0,1010.0,905.0,906.0,6.0,log
84,84.0,38.0,1.0,96.0,1.0,114.0,303.0,1017.0,1018.0,5.0,log
85,85.0,38.0,1.0,353.0,1.0,377.0,160.0,69.0,70.0,4.0,log
86,86.0,39.0,1.0,975.0,0.0,0.0,906.0,505.0,506.0,3.0,log
87,87.0,39.0,1.0,471.0,1.0,850.0,674.0,865.0,866.0,5.0,lin
88,88.0,39.0,1.0,289.0,1.0,96.0,303.0,276.0,,,not_found
89,89.0,40.0,1.0,6.0,0.0,0.0,332.0,470.0,471.0,3.0,log
90,90.0,41.0,1.0,903.0,0.0,0.0,975.0,872.0,,,not_found
91,91.0,40.0,0.0,0.0,1.0,282.0,1014.0,905.0,906.0,0.0,log
92,92.0,41.0,1.0,144.0,0.0,0.0,903.0,865.0,866.0,27.0,lin
93,93.0,42.0,1.0,828.0,0.0,0.0,453.0,865.0,866.0,3.0,lin
94,94.0,43.0,1.0,744.0,0.0,0.0,277.0,872.0,873.0,3.0,log
95,95.0,43.0,0.0,0.0,0.0,0.0,144.0,5.0,6.0,6.0,log
