,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,97,0,0,97,96,97.0,0.0,log
1,1,2,1,219,0,0,97,218,219.0,1.0,log
2,2,3,1,81,0,0,81,96,97.0,1.0,log
3,3,4,1,82,0,0,219,80,81.0,1.0,log
4,4,5,1,235,0,0,219,80,81.0,2.0,log
5,5,5,0,0,0,0,97,218,219.0,3.0,log
6,6,6,1,245,0,0,97,234,235.0,1.0,log
7,7,6,0,0,0,0,97,80,81.0,3.0,log
8,8,6,0,0,0,0,235,218,219.0,3.0,log
9,9,6,0,0,0,0,219,96,97.0,3.0,log
10,10,7,1,354,0,0,219,96,97.0,3.0,log
11,11,8,1,327,0,0,245,80,81.0,2.0,log
12,12,9,1,353,0,0,82,326,327.0,4.0,log
13,13,10,1,253,0,0,253,326,327.0,1.0,log
14,14,11,1,152,0,0,354,352,353.0,4.0,log
15,15,12,1,147,0,0,97,352,353.0,3.0,log
16,16,12,0,0,0,0,235,96,97.0,3.0,log
17,17,12,0,0,0,0,253,353,354.0,3.0,log
18,18,13,1,399,0,0,82,151,152.0,2.0,log
19,19,14,1,199,0,0,152,244,245.0,3.0,log
20,20,15,1,376,0,0,354,398,399.0,2.0,log
21,21,16,1,181,0,0,219,218,219.0,0.0,log
22,22,17,1,57,0,0,147,398,399.0,5.0,log
23,23,18,1,502,0,0,502,198,199.0,5.0,log
24,24,18,0,0,0,0,97,146,147.0,1.0,log
25,25,19,1,256,0,0,57,252,253.0,0.0,log
26,26,19,0,0,0,0,354,375,376.0,1.0,log
27,27,20,1,96,0,0,97,146,147.0,1.0,log
28,28,21,1,130,0,0,96,398,399.0,5.0,log
29,29,22,1,227,0,0,199,56,57.0,3.0,log
30,30,23,1,486,0,0,81,234,235.0,3.0,log
31,31,23,0,0,0,0,256,80,81.0,2.0,log
32,32,24,1,94,0,0,97,146,147.0,2.0,log
33,33,25,1,139,0,0,219,398,399.0,4.0,log
34,34,25,0,0,0,0,502,234,235.0,5.0,log
35,35,26,1,104,0,0,104,93,94.0,6.0,log
36,36,27,1,66,0,0,57,234,235.0,4.0,log
37,37,28,1,201,0,0,327,353,354.0,2.0,log
38,38,29,1,154,0,0,57,153,154.0,4.0,log
39,39,30,1,446,0,0,201,352,353.0,3.0,log
40,40,30,0,0,0,0,147,151,152.0,1.0,log
