,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,1034,0,0,1034,1033,1034.0,0.0,log
1,1,1,0,0,0,0,1034,1033,1034.0,0.0,log
2,2,2,1,1193,0,0,1193,1033,1034.0,1.0,log
3,3,2,1,1137,1,1034,1193,1192,1193.0,0.0,log
4,4,2,1,17,1,1137,17,16,17.0,0.0,log
5,5,3,1,199,0,0,17,198,199.0,1.0,log
6,6,4,1,1424,0,0,1424,198,199.0,2.0,log
7,7,5,1,1763,0,0,199,1762,1763.0,3.0,log
8,8,6,1,1204,0,0,17,1203,1204.0,2.0,log
9,9,7,1,1427,0,0,1204,16,17.0,3.0,log
10,10,8,1,1144,0,0,1427,1423,1424.0,5.0,log
11,11,9,1,1833,0,0,1144,1203,,,not_found
12,12,10,1,1305,0,0,1193,1426,1427.0,2.0,log
13,13,11,1,733,0,0,199,1762,1763.0,3.0,log
14,14,12,1,1815,0,0,1204,1203,1204.0,0.0,log
15,15,12,0,0,0,0,1144,1304,1305.0,3.0,log
16,16,13,1,1991,0,0,1193,1143,1144.0,3.0,log
17,17,14,1,852,0,0,199,16,17.0,5.0,log
18,18,14,0,0,0,0,852,198,199.0,5.0,log
19,19,15,1,1227,0,0,199,16,,,not_found
20,20,16,1,1391,0,0,1833,1143,1144.0,3.0,log
21,21,17,1,781,0,0,1991,1226,1227.0,5.0,log
22,22,18,1,714,0,0,17,16,17.0,0.0,log
23,23,19,1,1285,0,0,1204,1284,1285.0,2.0,log
24,24,20,1,1727,0,0,1193,1143,1144.0,4.0,log
25,25,21,1,281,0,0,1193,16,17.0,3.0,log
26,26,22,1,1434,0,0,1144,16,17.0,4.0,log
27,27,23,1,1446,0,0,1424,1832,1833.0,4.0,log
28,28,23,0,0,0,0,733,1990,1991.0,3.0,log
29,29,24,1,1114,0,0,1144,1726,1727.0,6.0,log
30,30,25,1,1339,0,0,1815,1423,1424.0,3.0,log
31,31,26,1,1786,0,0,17,1304,1305.0,4.0,log
32,32,27,1,1792,0,0,199,713,714.0,2.0,log
33,33,28,1,1475,0,0,1434,1433,1434.0,0.0,log
34,34,29,1,1992,0,0,1763,851,852.0,2.0,log
35,35,30,1,393,0,0,1792,780,781.0,5.0,log
36,36,30,1,1987,1,1339,1193,1426,1427.0,4.0,log
37,37,30,0,0,0,0,1475,851,852.0,4.0,log
38,38,30,0,0,0,0,1424,1226,1227.0,5.0,log
39,39,31,1,1209,0,0,733,1990,1991.0,4.0,log
40,40,32,1,1764,0,0,393,1423,1424.0,4.0,log
41,41,33,1,1023,0,0,281,16,17.0,6.0,log
42,42,34,1,1492,0,0,1023,1433,1434.0,5.0,log
43,43,34,0,0,0,0,1427,1284,1285.0,3.0,log
44,44,35,1,807,0,0,1227,1763,1764.0,2.0,log
45,45,35,1,771,1,1204,1475,1474,1475.0,0.0,log
46,46,35,1,929,1,781,1023,1113,1114.0,1.0,log
47,47,36,1,1204,0,0,1305,1113,1114.0,5.0,log
48,48,36,1,1891,1,1144,852,1445,1446.0,4.0,log
49,49,37,1,206,0,0,1991,928,,,not_found
50,50,38,1,321,0,0,1114,1474,1475.0,4.0,log
51,51,39,1,1765,0,0,1765,1986,1987.0,3.0,log
52,52,39,1,270,1,852,807,280,281.0,5.0,log
53,53,40,1,268,0,0,714,1986,1987.0,3.0,log
54,54,40,1,1869,1,1786,1446,320,321.0,4.0,log
55,55,41,1,835,0,0,1193,1474,1475.0,4.0,log
56,56,42,1,16,0,0,1987,806,,,not_found
57,57,43,1,961,0,0,1815,280,281.0,4.0,log
58,58,44,1,1884,0,0,1869,770,771.0,4.0,log
59,59,45,1,1041,0,0,1285,205,206.0,3.0,log
60,60,46,1,873,0,0,1446,1433,,,not_found
61,61,47,1,263,0,0,1884,320,321.0,7.0,log
62,62,48,1,1081,0,0,281,1426,,,not_found
63,63,49,1,1525,0,0,263,1226,,,not_found
64,64,50,1,565,0,0,268,16,17.0,2.0,log
65,65,51,1,55,0,0,1023,1791,,,not_found
66,66,52,1,1522,0,0,1869,1883,1884.0,1.0,log
67,67,53,1,275,0,0,835,1832,1833.0,4.0,log
