,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,0,0,0,0,15,0.0,0.0,log
1,1,1,0,0,0,0,0,15,0.0,0.0,log
2,2,1,0,0,0,0,0,15,0.0,0.0,log
3,3,1,0,0,0,0,0,15,0.0,0.0,log
4,4,1,0,0,0,0,0,15,0.0,0.0,log
5,5,1,0,0,0,0,0,15,0.0,0.0,log
6,6,2,1,13,0,0,13,15,0.0,1.0,log
7,7,2,0,0,0,0,13,12,13.0,0.0,log
8,8,3,1,1,0,0,1,0,1.0,0.0,log
9,9,4,1,14,0,0,1,12,13.0,1.0,log
10,10,5,1,8,0,0,0,15,0.0,0.0,log
11,11,6,1,15,0,0,0,14,15.0,3.0,log
12,12,7,1,7,0,0,15,12,13.0,2.0,log
13,13,8,1,9,0,0,1,15,,,not_found
14,14,9,1,3,0,0,13,12,13.0,0.0,log
15,15,8,0,0,1,1,0,7,8.0,2.0,log
16,16,8,0,0,0,0,8,8,9.0,1.0,log
17,17,9,1,11,0,0,3,14,15.0,3.0,log
18,18,10,1,2,0,0,2,7,8.0,3.0,log
19,19,10,0,0,0,0,7,2,3.0,3.0,log
20,20,10,0,0,0,0,0,2,3.0,2.0,log
21,21,10,0,0,0,0,11,8,9.0,4.0,log
22,22,11,1,6,0,0,15,1,2.0,2.0,log
23,23,12,1,4,0,0,7,7,8.0,1.0,log
24,24,13,1,12,0,0,7,14,15.0,4.0,log
25,25,13,0,0,0,0,13,2,3.0,2.0,log
26,26,13,0,0,0,0,0,6,7.0,3.0,log
27,27,14,1,10,0,0,10,5,6.0,4.0,log
28,28,14,0,0,0,0,11,14,15.0,3.0,log
29,29,14,0,0,0,0,14,3,4.0,3.0,log
30,30,15,1,1,0,0,2,8,9.0,3.0,log
31,31,15,0,0,0,0,11,2,3.0,4.0,log
32,32,16,1,5,0,0,9,2,3.0,3.0,log
33,33,16,1,5,0,0,0,6,7.0,3.0,log
34,34,16,0,0,0,0,5,4,5.0,0.0,log
35,35,16,0,0,0,0,4,1,2.0,4.0,log
36,36,16,1,5,0,0,0,4,5.0,2.0,log
37,37,16,1,5,0,0,7,8,9.0,2.0,log
38,38,16,0,0,0,0,2,3,4.0,2.0,log
39,39,16,0,0,0,0,1,7,8.0,3.0,log
40,40,16,1,5,0,0,1,8,9.0,4.0,log
41,41,16,0,0,0,0,2,2,3.0,1.0,log
42,42,16,0,0,0,0,13,1,2.0,2.0,log
43,43,16,0,0,0,0,4,3,4.0,0.0,log
44,44,16,0,0,0,0,3,10,11.0,4.0,log
45,45,16,1,5,0,0,6,2,3.0,3.0,log
46,46,16,0,0,0,0,6,1,2.0,4.0,log
47,47,16,0,0,0,0,15,12,13.0,4.0,log
48,48,16,1,5,0,0,3,3,4.0,1.0,log
49,49,16,1,5,0,0,0,11,12.0,4.0,log
50,50,15,0,0,1,8,15,5,6.0,3.0,log
51,51,15,0,0,0,0,9,0,1.0,4.0,log
52,52,15,0,0,0,0,3,11,12.0,2.0,log
53,53,16,1,8,0,0,0,8,9.0,4.0,log
54,54,16,1,8,0,0,6,7,8.0,2.0,log
55,55,16,0,0,0,0,9,2,3.0,3.0,log
56,56,16,0,0,0,0,13,3,4.0,3.0,log
57,57,16,0,0,0,0,5,0,1.0,4.0,log
58,58,16,1,8,0,0,9,15,0.0,3.0,log
59,59,16,1,8,0,0,13,15,0.0,2.0,log
60,60,16,1,8,0,0,12,15,0.0,3.0,log
61,61,16,0,0,0,0,0,3,4.0,3.0,log
62,62,16,1,8,0,0,13,7,8.0,3.0,log
63,63,16,1,8,0,0,10,2,3.0,2.0,log
64,64,16,0,0,0,0,2,13,14.0,4.0,log
65,65,16,0,0,0,0,6,2,3.0,3.0,log
66,66,16,1,8,0,0,15,15,0.0,1.0,log
67,67,16,1,8,0,0,12,11,12.0,0.0,log
68,68,16,1,8,0,0,14,12,13.0,4.0,log
69,69,16,1,8,0,0,5,11,12.0,3.0,log
70,70,16,0,0,0,0,1,5,6.0,2.0,log
71,71,16,1,8,0,0,14,9,10.0,4.0,log
72,72,15,0,0,1,11,14,11,12.0,3.0,log
73,73,16,1,11,0,0,6,0,1.0,3.0,log
74,74,16,0,0,0,0,12,7,8.0,4.0,log
75,75,16,0,0,0,0,10,7,8.0,4.0,log
76,76,16,1,11,0,0,15,4,5.0,3.0,log
77,77,16,1,11,0,0,6,8,9.0,2.0,log
78,78,16,0,0,0,0,9,2,3.0,3.0,log
79,79,16,1,11,0,0,3,9,10.0,3.0,log
80,80,16,0,0,0,0,4,14,15.0,3.0,log
81,81,16,1,11,0,0,2,2,3.0,1.0,log
82,82,16,0,0,0,0,14,6,7.0,2.0,log
83,83,16,0,0,0,0,14,14,15.0,1.0,log
84,84,16,1,11,0,0,11,8,9.0,4.0,log
85,85,16,1,11,0,0,13,6,7.0,3.0,log
86,86,16,1,11,0,0,11,4,5.0,3.0,log
87,87,16,1,11,0,0,2,7,8.0,3.0,log
88,88,16,1,11,0,0,0,15,0.0,0.0,log
89,89,16,1,11,0,0,14,7,8.0,3.0,log
90,90,16,1,11,0,0,13,11,12.0,4.0,log
91,91,16,1,11,0,0,4,15,0.0,4.0,log
92,92,16,0,0,0,0,5,4,5.0,0.0,log
93,93,16,0,0,0,0,3,4,5.0,2.0,log
94,94,16,0,0,0,0,3,5,6.0,2.0,log
95,95,16,0,0,0,0,2,10,11.0,2.0,log
96,96,16,1,11,0,0,0,12,13.0,3.0,log
97,97,16,0,0,0,0,8,8,9.0,1.0,log
98,98,16,0,0,0,0,4,11,12.0,4.0,log
99,99,16,0,0,0,0,12,1,2.0,3.0,log
100,100,16,1,11,0,0,2,11,12.0,3.0,log
101,101,16,0,0,0,0,10,14,15.0,2.0,log
102,102,16,0,0,0,0,14,3,4.0,3.0,log
103,103,15,0,0,1,0,8,11,12.0,3.0,log
104,104,16,1,0,0,0,2,15,0.0,4.0,log
105,105,16,1,0,0,0,6,9,10.0,3.0,log
106,106,16,1,0,0,0,0,5,6.0,3.0,log
107,107,16,1,0,0,0,14,6,7.0,2.0,log
108,108,16,0,0,0,0,1,7,8.0,3.0,log
109,109,16,0,0,0,0,10,8,9.0,4.0,log
110,110,16,1,0,0,0,11,0,1.0,3.0,log
111,111,16,1,0,0,0,7,14,15.0,4.0,log
112,112,16,1,0,0,0,14,2,3.0,2.0,log
113,113,16,0,0,0,0,14,15,0.0,2.0,log
114,114,16,1,0,0,0,13,1,2.0,2.0,log
115,115,16,1,0,0,0,4,13,14.0,3.0,log
116,116,16,1,0,0,0,0,15,0.0,0.0,log
117,117,16,1,0,0,0,11,5,6.0,3.0,log
118,118,16,0,0,0,0,8,2,3.0,3.0,log
119,119,16,1,0,0,0,10,15,0.0,3.0,log
120,120,15,1,0,1,2,10,8,9.0,2.0,log
121,121,16,1,2,0,0,14,12,13.0,4.0,log
122,122,16,1,2,0,0,5,13,14.0,2.0,log
123,123,16,1,2,0,0,12,12,13.0,1.0,log
124,124,16,1,2,0,0,6,10,11.0,2.0,log
125,125,16,0,0,0,0,5,6,7.0,2.0,log
126,126,16,1,2,0,0,6,12,13.0,3.0,log
127,127,16,0,0,0,0,3,12,13.0,3.0,log
128,128,16,1,2,0,0,11,14,15.0,3.0,log
129,129,16,1,2,0,0,11,1,2.0,3.0,log
130,130,16,1,2,0,0,4,9,10.0,3.0,log
131,131,16,1,2,0,0,9,7,9.0,0.0,log
132,132,16,0,0,0,0,13,14,15.0,2.0,log
133,133,16,1,2,0,0,3,11,12.0,2.0,log
134,134,16,1,2,0,0,13,10,11.0,4.0,log
135,135,16,0,0,0,0,13,6,7.0,3.0,log
136,136,16,0,0,0,0,7,15,0.0,2.0,log
137,137,16,0,0,0,0,14,13,14.0,0.0,log
138,138,16,0,0,0,0,2,3,4.0,2.0,log
139,139,16,1,2,0,0,0,4,5.0,2.0,log
140,140,16,1,2,0,0,0,7,8.0,4.0,log
141,141,16,0,0,0,0,5,14,15.0,3.0,log
142,142,16,1,2,0,0,3,3,4.0,1.0,log
143,143,16,0,0,0,0,4,6,7.0,2.0,log
144,144,16,1,2,0,0,7,6,7.0,0.0,log
145,145,16,0,0,0,0,10,11,12.0,2.0,log
146,146,16,0,0,0,0,8,11,12.0,3.0,log
147,147,16,1,2,0,0,10,0,1.0,3.0,log
148,148,16,0,0,0,0,6,8,9.0,2.0,log
149,149,16,0,0,0,0,5,6,7.0,2.0,log
150,150,16,0,0,0,0,6,14,15.0,2.0,log
151,151,15,0,0,1,8,11,15,0.0,2.0,log
152,152,15,0,0,0,0,13,15,0.0,2.0,log
153,153,16,1,8,0,0,7,3,4.0,3.0,log
154,154,16,0,0,0,0,2,10,11.0,2.0,log
155,155,16,0,0,0,0,4,8,9.0,2.0,log
156,156,16,0,0,0,0,6,11,12.0,3.0,log
157,157,16,1,8,0,0,6,13,14.0,4.0,log
158,158,16,1,8,0,0,3,1,3.0,0.0,log
159,159,16,1,8,0,0,11,12,13.0,2.0,log
160,160,16,0,0,0,0,4,8,9.0,2.0,log
161,161,15,0,0,1,13,11,6,7.0,4.0,log
162,162,15,0,0,0,0,15,8,9.0,3.0,log
163,163,16,1,13,0,0,1,5,6.0,2.0,log
164,164,16,1,13,0,0,15,6,7.0,4.0,log
165,165,16,0,0,0,0,15,8,9.0,3.0,log
166,166,16,1,13,0,0,10,3,4.0,3.0,log
167,167,16,1,13,0,0,12,8,9.0,3.0,log
168,168,15,1,13,1,7,8,14,15.0,3.0,log
169,169,15,0,0,0,0,8,14,15.0,3.0,log
170,170,15,0,0,0,0,2,9,10.0,4.0,log
171,171,16,1,7,0,0,2,9,10.0,4.0,log
172,172,16,0,0,0,0,4,8,9.0,2.0,log
173,173,15,1,7,1,12,15,12,13.0,3.0,log
174,174,15,0,0,0,0,6,4,5.0,4.0,log
175,175,16,1,12,0,0,2,13,14.0,3.0,log
176,176,16,1,12,0,0,13,10,11.0,4.0,log
177,177,16,1,12,0,0,13,15,0.0,2.0,log
178,178,16,0,0,0,0,15,10,11.0,4.0,log
179,179,16,0,0,0,0,7,5,6.0,4.0,log
180,180,16,1,12,0,0,0,13,14.0,4.0,log
181,181,16,0,0,0,0,15,12,13.0,4.0,log
182,182,16,1,12,0,0,5,13,14.0,2.0,log
183,183,16,0,0,0,0,14,3,4.0,3.0,log
184,184,16,0,0,0,0,11,8,9.0,4.0,log
185,185,16,0,0,0,0,8,10,11.0,2.0,log
186,186,16,1,12,0,0,11,1,2.0,3.0,log
187,187,16,1,12,0,0,6,6,7.0,1.0,log
188,188,16,0,0,0,0,8,10,11.0,2.0,log
189,189,16,0,0,0,0,7,8,9.0,2.0,log
190,190,16,0,0,0,0,2,9,10.0,4.0,log
191,191,16,1,12,0,0,10,13,14.0,3.0,log
192,192,16,0,0,0,0,2,7,8.0,3.0,log
193,193,16,1,12,0,0,11,2,3.0,4.0,log
194,194,16,1,12,0,0,9,1,2.0,2.0,log
195,195,16,0,0,0,0,3,2,3.0,0.0,log
196,196,16,1,12,0,0,11,6,7.0,4.0,log
197,197,16,0,0,0,0,15,10,11.0,4.0,log
198,198,16,1,12,0,0,10,1,2.0,4.0,log
199,199,16,1,12,0,0,7,12,13.0,3.0,log
200,200,16,0,0,0,0,0,15,0.0,0.0,log
201,201,16,1,12,0,0,12,10,11.0,4.0,log
202,202,16,1,12,0,0,5,14,15.0,3.0,log
203,203,16,1,12,0,0,13,2,3.0,3.0,log
204,204,16,0,0,0,0,4,8,9.0,2.0,log
205,205,16,1,12,0,0,10,8,9.0,4.0,log
206,206,16,0,0,0,0,8,8,9.0,1.0,log
207,207,16,0,0,0,0,10,7,8.0,4.0,log
208,208,15,0,0,1,10,0,14,15.0,4.0,log
209,209,16,1,10,0,0,5,9,10.0,2.0,log
210,210,16,0,0,0,0,8,12,13.0,2.0,log
211,211,16,1,10,0,0,5,3,4.0,4.0,log
212,212,16,1,10,0,0,1,2,3.0,2.0,log
213,213,16,0,0,0,0,13,12,13.0,0.0,log
214,214,16,0,0,0,0,10,8,9.0,4.0,log
215,215,16,1,10,0,0,5,7,8.0,2.0,log
216,216,16,0,0,0,0,9,12,13.0,3.0,log
217,217,16,0,0,0,0,0,10,11.0,3.0,log
218,218,16,1,10,0,0,4,6,7.0,2.0,log
219,219,16,1,10,0,0,12,11,12.0,0.0,log
220,220,16,1,10,0,0,7,2,3.0,4.0,log
221,221,16,0,0,0,0,5,0,1.0,4.0,log
222,222,16,1,10,0,0,15,14,15.0,0.0,log
223,223,16,1,10,0,0,6,12,13.0,3.0,log
224,224,16,1,10,0,0,5,11,12.0,3.0,log
225,225,16,1,10,0,0,5,7,8.0,2.0,log
226,226,16,0,0,0,0,12,6,7.0,3.0,log
227,227,16,1,10,0,0,6,9,10.0,3.0,log
228,228,15,1,10,1,3,9,5,6.0,3.0,log
229,229,16,1,3,0,0,4,4,5.0,1.0,log
230,230,16,0,0,0,0,8,9,10.0,2.0,log
231,231,16,0,0,0,0,7,0,1.0,3.0,log
232,232,16,0,0,0,0,3,5,6.0,2.0,log
233,233,16,0,0,0,0,13,9,10.0,3.0,log
234,234,16,0,0,0,0,12,7,8.0,4.0,log
235,235,15,1,3,1,3,10,14,15.0,2.0,log
236,236,16,1,3,0,0,10,6,7.0,3.0,log
237,237,16,1,3,0,0,6,8,9.0,2.0,log
238,238,16,0,0,0,0,6,11,12.0,3.0,log
239,239,16,0,0,0,0,3,10,11.0,4.0,log
240,240,16,1,3,0,0,1,15,1.0,0.0,log
241,241,16,1,3,0,0,13,6,7.0,3.0,log
242,242,16,0,0,0,0,11,10,11.0,0.0,log
243,243,16,1,3,0,0,7,0,1.0,3.0,log
244,244,16,1,3,0,0,5,4,5.0,0.0,log
245,245,16,0,0,0,0,0,13,14.0,4.0,log
246,246,16,1,3,0,0,9,9,10.0,1.0,log
247,247,16,1,3,0,0,11,13,14.0,2.0,log
248,248,16,1,3,0,0,15,11,12.0,3.0,log
249,249,16,1,3,0,0,1,8,9.0,4.0,log
250,250,16,1,3,0,0,10,1,2.0,4.0,log
251,251,16,1,3,0,0,5,13,14.0,2.0,log
252,252,16,0,0,0,0,11,11,12.0,1.0,log
253,253,16,0,0,0,0,0,5,6.0,3.0,log
254,254,16,0,0,0,0,6,15,0.0,3.0,log
255,255,16,0,0,0,0,14,0,1.0,2.0,log
256,256,16,1,3,0,0,15,1,2.0,2.0,log
257,257,16,0,0,0,0,10,6,7.0,3.0,log
258,258,16,0,0,0,0,11,6,7.0,4.0,log
259,259,16,0,0,0,0,13,10,11.0,4.0,log
260,260,16,1,3,0,0,11,10,11.0,0.0,log
261,261,15,1,3,1,3,1,1,2.0,1.0,log
262,262,15,0,0,0,0,8,15,0.0,4.0,log
263,263,15,1,3,1,14,6,0,1.0,0.0,log
264,264,16,1,14,0,0,8,3,4.0,4.0,log
265,265,16,1,14,0,0,2,5,6.0,3.0,log
266,266,16,1,14,0,0,13,5,6.0,2.0,log
267,267,16,0,0,0,0,0,14,15.0,5.0,log
268,268,16,1,14,0,0,3,4,5.0,2.0,log
269,269,16,1,14,0,0,4,8,9.0,2.0,log
270,270,16,1,14,0,0,14,14,15.0,1.0,log
271,271,16,0,0,0,0,4,2,4.0,0.0,log
272,272,16,0,0,0,0,6,15,0.0,3.0,log
273,273,16,0,0,0,0,2,3,4.0,2.0,log
274,274,16,0,0,0,0,3,3,4.0,1.0,log
275,275,16,1,14,0,0,13,14,15.0,2.0,log
276,276,16,0,0,0,0,4,10,11.0,3.0,log
277,277,16,0,0,0,0,12,15,0.0,3.0,log
278,278,16,1,14,0,0,5,11,12.0,3.0,log
279,279,16,1,14,0,0,3,0,1.0,4.0,log
280,280,16,0,0,0,0,2,1,2.0,0.0,log
281,281,16,1,14,0,0,9,0,1.0,4.0,log
282,282,16,1,14,0,0,1,1,2.0,1.0,log
283,283,16,0,0,0,0,10,9,10.0,0.0,log
284,284,16,1,14,0,0,0,10,11.0,3.0,log
285,285,16,0,0,0,0,6,13,14.0,4.0,log
286,286,16,1,14,0,0,3,14,15.0,4.0,log
