,k,network_n,search_n,jumps
278,3,2,78,1
279,3,2,79,0
280,3,2,80,0
281,3,2,81,1
282,3,2,82,1
283,3,2,83,0
284,3,2,84,0
285,3,2,85,1
286,3,2,86,0
287,3,2,87,1
288,3,2,88,1
289,3,2,89,0
290,3,2,90,1
291,3,2,91,1
292,3,2,92,0
293,3,2,93,0
294,3,2,94,1
295,3,2,95,0
296,3,2,96,1
297,3,2,97,0
298,3,2,98,1
299,3,2,99,0
300,3,3,0,0
301,3,3,1,1
302,3,3,2,1
303,3,3,3,1
304,3,3,4,0
305,3,3,5,1
306,3,3,6,1
307,3,3,7,1
308,3,3,8,0
309,3,3,9,1
310,3,3,10,0
311,3,3,11,0
312,3,3,12,1
313,3,3,13,1
314,3,3,14,0
315,3,3,15,1
316,3,3,16,1
317,3,3,17,1
318,3,3,18,0
319,3,3,19,1
320,3,3,20,0
321,3,3,21,0
322,3,3,22,0
323,3,3,23,1
324,3,3,24,0
325,3,3,25,1
326,3,3,26,1
327,3,3,27,1
328,3,3,28,0
329,3,3,29,0
330,3,3,30,1
331,3,3,31,0
332,3,3,32,1
333,3,3,33,1
334,3,3,34,0
335,3,3,35,1
336,3,3,36,0
337,3,3,37,0
338,3,3,38,0
339,3,3,39,0
340,3,3,40,0
341,3,3,41,1
342,3,3,42,0
343,3,3,43,1
344,3,3,44,1
345,3,3,45,1
346,3,3,46,0
347,3,3,47,1
348,3,3,48,0
349,3,3,49,0
350,3,3,50,0
351,3,3,51,0
352,3,3,52,1
353,3,3,53,0
354,3,3,54,0
355,3,3,55,0
356,3,3,56,0
357,3,3,57,1
358,3,3,58,1
359,3,3,59,1
360,3,3,60,0
361,3,3,61,1
362,3,3,62,0
363,3,3,63,0
364,3,3,64,0
365,3,3,65,0
366,3,3,66,0
367,3,3,67,0
368,3,3,68,0
369,3,3,69,1
370,3,3,70,0
371,3,3,71,0
372,3,3,72,1
373,3,3,73,0
374,3,3,74,1
375,3,3,75,1
376,3,3,76,1
377,3,3,77,0
378,3,3,78,1
379,3,3,79,1
380,3,3,80,1
381,3,3,81,1
382,3,3,82,0
383,3,3,83,1
384,3,3,84,0
385,3,3,85,1
386,3,3,86,1
387,3,3,87,0
388,3,3,88,1
389,3,3,89,0
390,3,3,90,1
391,3,3,91,1
392,3,3,92,0
393,3,3,93,0
394,3,3,94,1
395,3,3,95,0
396,3,3,96,0
397,3,3,97,0
398,3,3,98,1
399,3,3,99,1
400,3,4,0,0
401,3,4,1,1
402,3,4,2,0
403,3,4,3,1
404,3,4,4,0
405,3,4,5,1
406,3,4,6,0
407,3,4,7,1
408,3,4,8,1
409,3,4,9,1
410,3,4,10,1
411,3,4,11,0
412,3,4,12,0
413,3,4,13,0
414,3,4,14,1
415,3,4,15,0
416,3,4,16,1
417,3,4,17,0
418,3,4,18,1
419,3,4,19,0
420,3,4,20,0
421,3,4,21,0
422,3,4,22,1
423,3,4,23,0
424,3,4,24,1
425,3,4,25,0
426,3,4,26,1
427,3,4,27,0
428,3,4,28,0
429,3,4,29,0
430,3,4,30,0
431,3,4,31,1
432,3,4,32,0
433,3,4,33,1
434,3,4,34,0
435,3,4,35,0
436,3,4,36,1
437,3,4,37,0
438,3,4,38,1
439,3,4,39,1
440,3,4,40,1
441,3,4,41,1
442,3,4,42,1
443,3,4,43,0
444,3,4,44,1
445,3,4,45,1
446,3,4,46,0
447,3,4,47,0
448,3,4,48,0
449,3,4,49,0
450,3,4,50,0
451,3,4,51,0
452,3,4,52,0
453,3,4,53,0
454,3,4,54,0
455,3,4,55,1
456,3,4,56,0
457,3,4,57,1
458,3,4,58,0
459,3,4,59,1
460,3,4,60,1
461,3,4,61,1
462,3,4,62,1
463,3,4,63,0
464,3,4,64,0
465,3,4,65,0
466,3,4,66,1
467,3,4,67,1
468,3,4,68,0
469,3,4,69,0
470,3,4,70,1
471,3,4,71,0
472,3,4,72,1
473,3,4,73,1
474,3,4,74,1
475,3,4,75,0
476,3,4,76,0
477,3,4,77,0
478,3,4,78,1
479,3,4,79,0
480,3,4,80,1
481,3,4,81,0
482,3,4,82,1
483,3,4,83,0
484,3,4,84,0
485,3,4,85,0
486,3,4,86,0
487,3,4,87,0
488,3,4,88,0
489,3,4,89,1
490,3,4,90,1
491,3,4,91,0
492,3,4,92,1
493,3,4,93,1
494,3,4,94,0
495,3,4,95,0
496,3,4,96,1
497,3,4,97,0
498,3,4,98,1
499,3,4,99,1
500,3,5,0,1
501,3,5,1,1
502,3,5,2,1
503,3,5,3,0
504,3,5,4,1
505,3,5,5,1
506,3,5,6,0
507,3,5,7,1
508,3,5,8,1
509,3,5,9,0
510,3,5,10,1
511,3,5,11,0
512,3,5,12,1
513,3,5,13,0
514,3,5,14,0
515,3,5,15,1
516,3,5,16,1
517,3,5,17,0
518,3,5,18,1
519,3,5,19,0
520,3,5,20,1
521,3,5,21,1
522,3,5,22,1
523,3,5,23,1
524,3,5,24,1
525,3,5,25,1
526,3,5,26,1
527,3,5,27,0
528,3,5,28,1
529,3,5,29,1
530,3,5,30,0
531,3,5,31,1
532,3,5,32,0
533,3,5,33,0
534,3,5,34,1
535,3,5,35,1
536,3,5,36,0
537,3,5,37,1
538,3,5,38,0
539,3,5,39,1
540,3,5,40,0
541,3,5,41,1
542,3,5,42,1
543,3,5,43,1
544,3,5,44,1
545,3,5,45,1
546,3,5,46,1
547,3,5,47,0
548,3,5,48,1
549,3,5,49,0
550,3,5,50,1
551,3,5,51,1
552,3,5,52,1
553,3,5,53,0
554,3,5,54,0
555,3,5,55,0
556,3,5,56,0
557,3,5,57,1
558,3,5,58,1
559,3,5,59,1
560,3,5,60,1
561,3,5,61,0
562,3,5,62,1
563,3,5,63,0
564,3,5,64,0
565,3,5,65,0
566,3,5,66,1
567,3,5,67,0
568,3,5,68,0
569,3,5,69,0
570,3,5,70,0
571,3,5,71,1
572,3,5,72,0
573,3,5,73,1
574,3,5,74,1
575,3,5,75,0
576,3,5,76,0
577,3,5,77,0
578,3,5,78,1
579,3,5,79,1
580,3,5,80,1
581,3,5,81,1
582,3,5,82,0
583,3,5,83,0
584,3,5,84,1
585,3,5,85,0
586,3,5,86,0
587,3,5,87,0
588,3,5,88,1
589,3,5,89,0
590,3,5,90,0
591,3,5,91,1
592,3,5,92,1
593,3,5,93,0
594,3,5,94,1
595,3,5,95,0
596,3,5,96,0
597,3,5,97,0
598,3,5,98,0
599,3,5,99,1
600,3,6,0,1
601,3,6,1,1
602,3,6,2,0
603,3,6,3,0
604,3,6,4,0
605,3,6,5,0
606,3,6,6,1
607,3,6,7,0
608,3,6,8,1
609,3,6,9,0
610,3,6,10,0
611,3,6,11,1
612,3,6,12,1
613,3,6,13,0
614,3,6,14,1
615,3,6,15,0
616,3,6,16,0
617,3,6,17,1
618,3,6,18,0
619,3,6,19,0
620,3,6,20,0
621,3,6,21,0
622,3,6,22,1
623,3,6,23,0
624,3,6,24,1
625,3,6,25,1
626,3,6,26,0
627,3,6,27,1
628,3,6,28,0
629,3,6,29,0
630,3,6,30,1
631,3,6,31,0
632,3,6,32,0
633,3,6,33,1
634,3,6,34,1
635,3,6,35,1
636,3,6,36,1
637,3,6,37,0
638,3,6,38,1
639,3,6,39,1
640,3,6,40,1
641,3,6,41,0
642,3,6,42,1
643,3,6,43,1
644,3,6,44,0
645,3,6,45,0
646,3,6,46,0
647,3,6,47,1
648,3,6,48,0
649,3,6,49,0
650,3,6,50,1
651,3,6,51,0
652,3,6,52,0
653,3,6,53,0
654,3,6,54,0
655,3,6,55,1
656,3,6,56,1
657,3,6,57,0
658,3,6,58,1
659,3,6,59,1
660,3,6,60,1
661,3,6,61,1
662,3,6,62,1
663,3,6,63,0
664,3,6,64,1
665,3,6,65,1
666,3,6,66,0
667,3,6,67,1
668,3,6,68,1
669,3,6,69,1
670,3,6,70,1
671,3,6,71,0
672,3,6,72,0
673,3,6,73,0
674,3,6,74,1
675,3,6,75,0
676,3,6,76,0
677,3,6,77,1
678,3,6,78,0
679,3,6,79,0
680,3,6,80,1
681,3,6,81,1
682,3,6,82,0
683,3,6,83,0
684,3,6,84,0
685,3,6,85,0
686,3,6,86,1
687,3,6,87,0
688,3,6,88,1
689,3,6,89,1
690,3,6,90,1
691,3,6,91,0
692,3,6,92,1
693,3,6,93,1
694,3,6,94,1
695,3,6,95,0
696,3,6,96,1
697,3,6,97,0
698,3,6,98,0
699,3,6,99,1
700,3,7,0,1
701,3,7,1,0
702,3,7,2,0
703,3,7,3,1
704,3,7,4,1
705,3,7,5,0
706,3,7,6,1
707,3,7,7,0
708,3,7,8,0
709,3,7,9,0
710,3,7,10,0
711,3,7,11,0
712,3,7,12,0
713,3,7,13,0
714,3,7,14,1
715,3,7,15,0
716,3,7,16,1
717,3,7,17,1
718,3,7,18,0
719,3,7,19,0
720,3,7,20,0
721,3,7,21,1
722,3,7,22,0
723,3,7,23,1
724,3,7,24,1
725,3,7,25,1
726,3,7,26,1
727,3,7,27,1
728,3,7,28,1
729,3,7,29,0
730,3,7,30,0
731,3,7,31,0
732,3,7,32,0
733,3,7,33,0
734,3,7,34,0
735,3,7,35,0
736,3,7,36,1
737,3,7,37,1
738,3,7,38,1
739,3,7,39,1
740,3,7,40,1
741,3,7,41,0
742,3,7,42,0
743,3,7,43,0
744,3,7,44,0
745,3,7,45,1
746,3,7,46,0
747,3,7,47,1
748,3,7,48,0
749,3,7,49,0
750,3,7,50,0
751,3,7,51,0
752,3,7,52,1
753,3,7,53,1
754,3,7,54,1
755,3,7,55,0
756,3,7,56,0
757,3,7,57,0
758,3,7,58,1
759,3,7,59,0
760,3,7,60,1
761,3,7,61,0
762,3,7,62,1
763,3,7,63,0
764,3,7,64,0
765,3,7,65,0
766,3,7,66,1
767,3,7,67,0
768,3,7,68,1
769,3,7,69,1
770,3,7,70,0
771,3,7,71,1
772,3,7,72,0
773,3,7,73,0
774,3,7,74,1
775,3,7,75,1
776,3,7,76,0
777,3,7,77,0
778,3,7,78,1
779,3,7,79,0
780,3,7,80,0
781,3,7,81,0
782,3,7,82,0
783,3,7,83,1
784,3,7,84,0
785,3,7,85,0
786,3,7,86,1
787,3,7,87,1
788,3,7,88,0
789,3,7,89,1
790,3,7,90,1
791,3,7,91,1
792,3,7,92,1
793,3,7,93,1
794,3,7,94,0
795,3,7,95,1
796,3,7,96,0
797,3,7,97,1
798,3,7,98,1
799,3,7,99,1
800,3,8,0,0
801,3,8,1,1
802,3,8,2,1
803,3,8,3,1
804,3,8,4,0
805,3,8,5,0
806,3,8,6,0
807,3,8,7,1
808,3,8,8,0
809,3,8,9,1
810,3,8,10,0
811,3,8,11,0
812,3,8,12,0
813,3,8,13,0
814,3,8,14,0
815,3,8,15,1
816,3,8,16,0
817,3,8,17,0
818,3,8,18,1
819,3,8,19,1
820,3,8,20,0
821,3,8,21,1
822,3,8,22,1
823,3,8,23,0
824,3,8,24,0
825,3,8,25,0
826,3,8,26,0
827,3,8,27,0
828,3,8,28,1
829,3,8,29,0
830,3,8,30,1
831,3,8,31,0
832,3,8,32,0
833,3,8,33,0
834,3,8,34,1
835,3,8,35,0
836,3,8,36,0
837,3,8,37,1
838,3,8,38,0
839,3,8,39,0
840,3,8,40,0
841,3,8,41,1
842,3,8,42,1
843,3,8,43,0
844,3,8,44,0
845,3,8,45,0
846,3,8,46,1
847,3,8,47,0
