,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,1700,0,0,1700,1699,1700.0,0.0,log
1,1,2,1,1727,0,0,1727,1726,1727.0,0.0,log
2,2,3,1,617,0,0,1727,1699,1700.0,2.0,log
3,3,4,1,1085,0,0,1700,616,617.0,2.0,log
4,4,5,1,1521,0,0,1085,1520,1521.0,1.0,log
5,5,6,1,1767,0,0,1521,1699,1700.0,1.0,log
6,6,7,1,78,0,0,617,1726,,,not_found
7,7,8,1,699,0,0,1700,1520,1521.0,2.0,log
8,8,9,1,921,0,0,921,698,699.0,4.0,log
9,9,10,1,942,0,0,699,77,78.0,4.0,log
10,10,11,1,338,0,0,1700,941,942.0,4.0,log
11,11,12,1,1279,0,0,1521,1084,1085.0,4.0,log
12,12,13,1,1793,0,0,1767,1726,1727.0,4.0,log
13,13,14,1,656,0,0,78,77,78.0,0.0,log
14,14,15,1,178,0,0,1767,177,178.0,2.0,log
15,15,16,1,801,0,0,656,698,699.0,1.0,log
16,16,17,1,437,0,0,942,800,801.0,6.0,log
17,17,18,1,707,0,0,178,1699,1700.0,5.0,log
18,18,19,1,713,0,0,437,1766,1767.0,4.0,log
19,19,20,1,50,0,0,921,436,437.0,4.0,log
20,20,21,1,1663,0,0,78,436,437.0,2.0,log
21,21,22,1,1652,0,0,437,1084,1085.0,4.0,log
22,22,23,1,1873,0,0,437,800,801.0,0.0,log
23,23,24,1,928,0,0,50,1699,1700.0,5.0,log
24,24,25,1,1296,0,0,178,616,,,not_found
25,25,26,1,39,0,0,617,698,699.0,2.0,log
26,26,27,1,1326,0,0,1727,177,178.0,3.0,log
27,27,28,1,405,0,0,1767,1792,1793.0,1.0,log
28,28,29,1,1869,0,0,707,1084,1085.0,3.0,log
29,29,30,1,1172,0,0,707,49,50.0,3.0,log
30,30,31,1,734,0,0,656,1662,1663.0,4.0,log
31,31,32,1,454,0,0,1652,1278,1279.0,5.0,log
32,32,33,1,320,0,0,405,1868,1869.0,3.0,log
33,33,34,1,1636,0,0,338,1084,1085.0,3.0,log
34,34,35,1,1420,0,0,707,38,39.0,4.0,log
35,35,36,1,627,0,0,1663,1278,1279.0,5.0,log
36,36,37,1,51,0,0,656,337,338.0,4.0,log
37,37,38,1,169,0,0,1420,1792,1793.0,6.0,log
38,38,39,1,1367,0,0,921,1872,1873.0,4.0,log
39,39,40,1,326,0,0,178,1662,1663.0,4.0,log
40,40,41,1,1606,0,0,1636,168,169.0,4.0,log
41,41,42,1,1044,0,0,699,1699,1700.0,6.0,log
42,42,43,1,860,0,0,1652,1325,1326.0,5.0,log
43,43,44,1,1973,0,0,338,626,627.0,2.0,log
44,44,45,1,864,0,0,707,1419,1420.0,3.0,log
45,45,46,1,1715,0,0,1044,1972,1973.0,4.0,log
46,46,47,1,724,0,0,713,706,707.0,5.0,log
47,47,48,1,442,0,0,1767,319,320.0,4.0,log
48,48,49,1,783,0,0,1326,1699,1700.0,5.0,log
49,49,50,1,306,0,0,51,920,921.0,6.0,log
50,50,51,1,1632,0,0,1727,49,50.0,2.0,log
51,51,52,1,426,0,0,707,319,320.0,5.0,log
52,52,53,1,1541,0,0,864,706,707.0,4.0,log
53,53,54,1,145,0,0,1636,1540,1541.0,4.0,log
54,54,55,1,465,0,0,734,927,928.0,3.0,log
55,55,56,1,27,0,0,442,404,405.0,6.0,log
56,56,57,1,341,0,0,1420,863,864.0,4.0,log
