,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0,1,1,615,0,0,615,614,615.0,0.0,log
1,1,2,1,971,0,0,615,614,615.0,0.0,log
2,2,2,0,0,0,0,971,614,615.0,1.0,log
3,3,2,0,0,0,0,615,614,615.0,0.0,log
4,4,3,1,856,0,0,856,970,971.0,1.0,log
5,5,3,0,0,0,0,971,855,856.0,2.0,log
6,6,4,1,57,0,0,856,56,57.0,2.0,log
7,7,4,0,0,0,0,615,56,57.0,2.0,log
8,8,5,1,617,0,0,57,855,856.0,3.0,log
9,9,6,1,225,0,0,617,224,225.0,5.0,lin
10,10,6,0,0,0,0,615,224,225.0,3.0,log
11,11,7,1,769,0,0,971,614,,,not_found
12,12,7,0,0,0,0,769,768,769.0,0.0,log
13,13,7,0,0,0,0,769,56,57.0,3.0,log
14,14,8,1,782,0,0,782,56,57.0,1.0,log
15,15,9,1,686,0,0,617,781,,,not_found
16,16,10,1,450,0,0,615,56,57.0,2.0,log
17,17,10,0,0,0,0,57,449,,,not_found
18,18,10,0,0,0,0,856,768,769.0,2.0,log
19,19,11,1,722,0,0,57,781,782.0,5.0,lin
20,20,12,1,122,0,0,615,224,225.0,4.0,log
21,21,12,1,839,1,57,782,970,971.0,2.0,log
22,22,12,0,0,0,0,615,768,,,not_found
23,23,13,1,133,0,0,450,449,450.0,0.0,log
24,24,14,1,44,0,0,971,614,615.0,2.0,log
25,25,15,1,462,0,0,971,43,44.0,2.0,log
26,26,15,0,0,0,0,462,970,971.0,4.0,log
27,27,15,0,0,0,0,839,838,839.0,0.0,log
28,28,15,0,0,0,0,722,616,,,not_found
29,29,16,1,433,0,0,122,432,433.0,2.0,log
30,30,16,1,193,1,193,462,432,,,not_found
31,31,17,1,776,0,0,44,775,776.0,4.0,log
32,32,18,1,284,0,0,839,461,462.0,3.0,log
33,33,19,1,305,0,0,433,768,,,not_found
34,34,20,1,825,0,0,450,775,776.0,2.0,log
35,35,20,0,0,0,0,825,461,462.0,4.0,log
36,36,20,0,0,0,0,462,616,617.0,1.0,log
37,37,20,0,0,0,0,617,224,225.0,3.0,log
38,38,21,1,670,0,0,225,669,670.0,2.0,log
39,39,21,0,0,0,0,617,775,,,not_found
40,40,22,1,464,0,0,44,224,225.0,3.0,log
41,41,22,0,0,0,0,856,283,284.0,0.0,log
42,42,23,1,813,0,0,825,824,825.0,0.0,log
43,43,24,1,777,0,0,686,685,686.0,0.0,log
44,44,25,1,482,0,0,769,775,776.0,2.0,log
45,45,25,0,0,0,0,825,812,813.0,5.0,log
46,46,26,1,354,0,0,305,855,856.0,2.0,log
47,47,27,1,545,0,0,971,614,615.0,4.0,log
48,48,27,0,0,0,0,617,481,482.0,4.0,log
49,49,27,0,0,0,0,839,614,615.0,4.0,log
50,50,28,1,750,0,0,722,781,782.0,2.0,log
51,51,28,0,0,0,0,839,449,,,not_found
52,52,29,1,934,0,0,44,432,433.0,3.0,log
53,53,29,0,0,0,0,686,121,122.0,2.0,log
54,54,29,0,0,0,0,934,121,122.0,3.0,log
55,55,28,0,0,1,433,782,768,769.0,2.0,log
56,56,29,1,89,0,0,305,781,782.0,2.0,log
57,57,29,0,0,0,0,133,614,615.0,3.0,log
58,58,29,0,0,0,0,464,855,,,not_found
59,59,30,1,1023,0,0,776,353,354.0,2.0,log
60,60,30,0,0,0,0,225,768,,,not_found
61,61,31,1,624,0,0,624,768,769.0,3.0,log
62,62,32,1,157,0,0,225,156,157.0,5.0,log
63,63,31,0,0,1,825,482,749,750.0,4.0,log
64,64,31,0,0,0,0,450,781,782.0,4.0,log
65,65,31,0,0,0,0,776,43,44.0,3.0,log
66,66,32,1,220,0,0,1023,749,750.0,4.0,log
67,67,33,1,32,0,0,813,855,,,not_found
68,68,33,0,0,0,0,856,855,856.0,0.0,log
69,69,34,1,808,0,0,482,776,,,not_found
70,70,35,1,415,0,0,133,463,464.0,4.0,log
71,71,36,1,2,0,0,686,616,,,not_found
72,72,37,1,634,0,0,856,807,808.0,5.0,log
73,73,38,1,259,0,0,450,749,750.0,5.0,log
74,74,38,0,0,0,0,634,614,615.0,6.0,log
75,75,39,1,910,0,0,482,224,225.0,5.0,log
76,76,39,0,0,0,0,839,414,415.0,2.0,log
77,77,40,1,129,0,0,89,43,44.0,4.0,log
78,78,41,1,303,0,0,32,838,839.0,7.0,log
79,79,42,1,948,0,0,89,933,934.0,17.0,lin
80,80,43,1,469,0,0,89,838,839.0,6.0,log
81,81,44,1,147,0,0,147,414,415.0,3.0,log
82,82,44,1,923,1,776,545,258,,,not_found
83,83,44,0,0,0,0,910,970,971.0,2.0,log
84,84,44,0,0,0,0,615,481,482.0,5.0,log
85,85,44,0,0,0,0,813,31,32.0,2.0,log
86,86,45,1,811,0,0,464,614,615.0,2.0,log
87,87,45,0,0,0,0,482,933,934.0,3.0,log
88,88,46,1,505,0,0,811,970,,,not_found
89,89,46,0,0,0,0,782,461,462.0,3.0,log
90,90,47,1,800,0,0,686,544,545.0,3.0,log
91,91,47,0,0,0,0,769,749,750.0,6.0,log
92,92,47,0,0,0,0,482,922,923.0,3.0,log
93,93,47,0,0,0,0,89,302,303.0,3.0,log
94,94,47,0,0,0,0,122,128,129.0,1.0,log
95,95,47,0,0,0,0,971,156,157.0,4.0,log
96,96,47,0,0,0,0,670,302,303.0,3.0,log
97,97,47,0,0,0,0,923,224,225.0,3.0,log
98,98,48,1,345,0,0,811,219,220.0,4.0,log
99,99,48,0,0,0,0,750,504,505.0,4.0,log
100,100,47,0,0,1,44,303,88,89.0,17.0,lin
101,101,48,1,815,0,0,782,304,,,not_found
102,102,49,1,549,0,0,839,933,934.0,4.0,log
103,103,49,0,0,0,0,303,721,,,not_found
104,104,50,1,703,0,0,450,504,505.0,2.0,log
105,105,50,1,876,1,686,769,749,,,not_found
106,106,50,0,0,0,0,934,623,624.0,2.0,log
107,107,50,0,0,0,0,910,922,,,not_found
108,108,51,1,171,0,0,462,922,923.0,2.0,log
109,109,52,1,560,0,0,923,855,856.0,4.0,log
110,110,53,1,497,0,0,129,156,157.0,2.0,log
111,111,54,1,1013,0,0,800,776,777.0,4.0,log
112,112,54,0,0,0,0,670,463,,,not_found
113,113,54,0,0,0,0,89,128,129.0,2.0,log
114,114,54,0,0,0,0,259,548,549.0,4.0,log
115,115,54,0,0,0,0,839,302,303.0,4.0,log
116,116,54,0,0,0,0,856,504,505.0,3.0,log
117,117,55,1,739,0,0,782,875,876.0,2.0,log
118,118,56,1,181,0,0,32,344,,,not_found
119,119,57,1,663,0,0,739,807,,,not_found
120,120,57,0,0,0,0,1023,721,,,not_found
121,121,57,0,0,0,0,876,548,549.0,4.0,log
122,122,57,0,0,0,0,560,799,800.0,5.0,log
123,123,58,1,340,0,0,777,339,,,not_found
124,124,57,0,0,1,560,340,31,32.0,4.0,log
125,125,57,0,0,0,0,147,224,225.0,2.0,log
126,126,56,0,0,1,482,800,1,2.0,4.0,log
127,127,57,1,656,0,0,220,875,876.0,3.0,log
128,128,58,1,118,0,0,971,117,118.0,2.0,log
129,129,58,0,0,0,0,624,219,220.0,4.0,log
130,130,59,1,626,0,0,839,283,284.0,4.0,log
131,131,60,1,57,0,0,626,838,,,not_found
132,132,61,1,489,0,0,948,662,663.0,4.0,log
133,133,61,0,0,0,0,225,807,,,not_found
134,134,61,0,0,0,0,1023,117,118.0,2.0,log
135,135,62,1,125,0,0,934,124,125.0,4.0,log
136,136,62,0,0,0,0,497,414,,,not_found
137,137,62,0,0,0,0,617,814,815.0,3.0,log
138,138,63,1,388,0,0,305,614,615.0,3.0,log
139,139,64,1,669,0,0,782,463,,,not_found
140,140,64,0,0,0,0,125,170,171.0,4.0,log
141,141,65,1,346,0,0,497,625,626.0,3.0,log
142,142,66,1,696,0,0,125,799,800.0,4.0,log
143,143,67,1,700,0,0,624,768,769.0,4.0,log
144,144,68,1,304,0,0,220,616,617.0,3.0,log
145,145,68,0,0,0,0,304,625,626.0,3.0,log
146,146,68,0,0,0,0,739,807,,,not_found
147,147,68,0,0,0,0,462,156,157.0,4.0,log
148,148,67,0,0,1,340,722,303,304.0,4.0,log
149,149,68,1,280,0,0,89,781,,,not_found
150,150,68,0,0,0,0,464,875,876.0,4.0,log
151,151,68,0,0,0,0,305,544,545.0,3.0,log
152,152,69,1,803,0,0,157,623,,,not_found
153,153,69,0,0,0,0,808,387,388.0,4.0,log
154,154,70,1,691,0,0,89,909,910.0,3.0,log
155,155,70,0,0,0,0,617,496,497.0,5.0,log
156,156,71,1,646,0,0,346,738,,,not_found
157,157,72,1,491,0,0,856,303,304.0,5.0,log
158,158,73,1,511,0,0,670,344,345.0,4.0,log
159,159,73,0,0,0,0,617,353,,,not_found
160,160,74,1,764,0,0,1013,721,,,not_found
161,161,75,1,373,0,0,764,668,669.0,6.0,log
162,162,75,0,0,0,0,615,645,646.0,4.0,log
163,163,75,0,0,0,0,346,302,303.0,5.0,log
164,164,76,1,436,0,0,469,625,626.0,2.0,log
165,165,77,1,367,0,0,129,435,436.0,3.0,log
166,166,78,1,194,0,0,89,56,57.0,5.0,log
167,167,78,0,0,0,0,722,776,777.0,3.0,log
168,168,78,0,0,0,0,2,699,,,not_found
169,169,79,1,804,0,0,32,353,354.0,4.0,log
170,170,80,1,636,0,0,89,699,,,not_found
171,171,80,0,0,0,0,646,812,,,not_found
172,172,81,1,893,0,0,280,88,89.0,4.0,log
173,173,82,1,740,0,0,171,88,89.0,5.0,log
174,174,82,0,0,0,0,118,623,,,not_found
175,175,83,1,65,0,0,722,625,626.0,4.0,log
176,176,84,1,919,0,0,696,156,157.0,5.0,log
177,177,85,1,576,0,0,129,146,147.0,2.0,log
178,178,85,1,589,1,545,125,1,,,not_found
179,179,86,1,858,0,0,1013,655,656.0,4.0,log
180,180,87,1,256,0,0,646,117,118.0,5.0,log
181,181,87,0,0,0,0,57,623,624.0,40.0,lin
182,182,87,0,0,0,0,858,802,,,not_found
183,183,87,0,0,0,0,388,372,373.0,6.0,log
184,184,87,0,0,0,0,800,575,576.0,5.0,log
185,185,87,0,0,0,0,511,875,876.0,4.0,log
186,186,87,0,0,0,0,125,812,,,not_found
187,187,88,1,56,0,0,934,776,,,not_found
188,188,89,1,179,0,0,576,933,,,not_found
189,189,89,1,895,1,489,305,170,171.0,5.0,log
190,190,90,1,755,0,0,636,88,89.0,6.0,log
191,191,90,0,0,0,0,656,121,122.0,4.0,log
192,192,90,0,0,0,0,626,662,663.0,3.0,log
193,193,90,0,0,0,0,388,279,280.0,6.0,log
194,194,90,0,0,0,0,813,749,750.0,4.0,log
195,195,91,1,902,0,0,450,754,755.0,15.0,lin
196,196,91,0,0,0,0,57,970,,,not_found
197,197,92,1,239,0,0,755,803,,,not_found
198,198,93,1,114,0,0,750,894,,,not_found
199,199,93,0,0,0,0,615,623,624.0,1.0,log
200,200,94,1,29,0,0,769,702,703.0,3.0,log
201,201,95,1,878,0,0,636,279,280.0,4.0,log
202,202,96,1,277,0,0,171,1,2.0,5.0,log
203,203,97,1,556,0,0,934,304,305.0,5.0,log
204,204,98,1,568,0,0,782,219,220.0,5.0,log
205,205,98,0,0,0,0,511,877,878.0,2.0,log
206,206,98,1,300,1,626,305,461,462.0,3.0,log
207,207,98,0,0,0,0,1023,468,469.0,6.0,log
208,208,98,0,0,0,0,450,807,,,not_found
209,209,98,0,0,0,0,663,635,,,not_found
210,210,98,0,0,0,0,670,132,133.0,5.0,log
211,211,98,0,0,0,0,89,238,239.0,3.0,log
212,212,98,0,0,0,0,56,616,,,not_found
213,213,98,0,0,0,0,777,857,858.0,2.0,log
214,214,98,0,0,0,0,800,892,893.0,2.0,log
215,215,99,1,178,0,0,373,933,,,not_found
216,216,99,0,0,0,0,464,279,280.0,4.0,log
217,217,99,0,0,0,0,415,933,,,not_found
218,218,100,1,71,0,0,703,875,876.0,11.0,lin
219,219,101,1,39,0,0,462,88,89.0,5.0,log
220,220,101,0,0,0,0,256,838,,,not_found
221,221,101,0,0,0,0,576,387,388.0,5.0,log
222,222,102,1,929,0,0,589,548,,,not_found
223,223,103,1,137,0,0,133,64,65.0,5.0,log
224,224,104,1,430,0,0,549,575,576.0,1.0,log
225,225,105,1,145,0,0,122,699,700.0,2.0,log
226,226,105,0,0,0,0,876,366,367.0,5.0,log
227,227,106,1,933,0,0,722,781,,,not_found
228,228,105,0,0,1,811,1013,504,505.0,6.0,log
229,229,105,0,0,0,0,373,224,225.0,4.0,log
230,230,106,1,865,0,0,910,894,895.0,3.0,log
231,231,107,1,575,0,0,125,616,,,not_found
232,232,107,0,0,0,0,777,655,,,not_found
233,233,108,1,861,0,0,178,156,157.0,5.0,log
234,234,109,1,365,0,0,462,933,934.0,5.0,log
235,235,110,1,681,0,0,133,1012,1013.0,3.0,log
236,236,111,1,925,0,0,65,875,876.0,6.0,log
237,237,112,1,817,0,0,1013,463,464.0,3.0,log
238,238,111,0,0,1,303,464,768,769.0,4.0,log
239,239,111,0,0,0,0,32,776,777.0,70.0,lin
240,240,112,1,1,0,0,856,864,865.0,2.0,log
241,241,112,0,0,0,0,919,156,157.0,6.0,log
242,242,112,0,0,0,0,878,901,902.0,2.0,log
243,243,113,1,920,0,0,304,802,803.0,46.0,lin
244,244,113,1,655,1,817,782,548,,,not_found
245,245,114,1,410,0,0,2,353,354.0,4.0,log
246,246,114,0,0,0,0,147,802,803.0,3.0,log
247,247,114,0,0,0,0,669,255,256.0,4.0,log
248,248,114,0,0,0,0,655,303,304.0,4.0,log
249,249,114,0,0,0,0,656,177,178.0,3.0,log
250,250,114,0,0,0,0,813,690,691.0,6.0,log
251,251,114,0,0,0,0,145,117,118.0,4.0,log
252,252,115,1,177,0,0,636,855,856.0,4.0,log
253,253,116,1,760,0,0,815,892,893.0,4.0,log
254,254,115,0,0,1,415,656,304,305.0,5.0,log
255,255,115,0,0,0,0,895,574,575.0,4.0,log
256,256,116,1,26,0,0,808,38,39.0,4.0,log
257,257,117,1,980,0,0,722,623,624.0,7.0,log
258,258,118,1,614,0,0,624,0,,,not_found
259,259,118,0,0,0,0,259,38,,,not_found
260,260,118,0,0,0,0,948,276,277.0,3.0,log
261,261,119,1,420,0,0,194,283,284.0,4.0,log
262,262,120,1,474,0,0,740,510,511.0,4.0,log
263,263,120,0,0,0,0,305,928,929.0,68.0,lin
264,264,121,1,498,0,0,948,276,,,not_found
265,265,121,0,0,0,0,703,304,305.0,5.0,log
266,266,121,0,0,0,0,663,699,700.0,2.0,log
267,267,121,0,0,0,0,670,429,430.0,6.0,log
268,268,122,1,730,0,0,624,88,89.0,5.0,log
269,269,123,1,81,0,0,280,864,865.0,3.0,log
270,270,123,0,0,0,0,624,814,815.0,4.0,log
271,271,124,1,829,0,0,750,31,32.0,3.0,log
272,272,125,1,845,0,0,56,88,89.0,3.0,log
273,273,125,0,0,0,0,923,238,239.0,3.0,log
274,274,125,0,0,0,0,32,864,865.0,5.0,log
275,275,125,0,0,0,0,239,567,568.0,4.0,log
276,276,126,1,841,0,0,462,702,703.0,5.0,log
277,277,126,0,0,0,0,925,979,980.0,2.0,log
278,278,126,0,0,0,0,125,490,491.0,4.0,log
279,279,127,1,203,0,0,239,855,,,not_found
280,280,127,0,0,0,0,81,473,,,not_found
281,281,127,0,0,0,0,373,276,277.0,5.0,log
282,282,127,0,0,0,0,777,776,777.0,0.0,log
283,283,128,1,835,0,0,813,857,858.0,1.0,log
284,284,128,0,0,0,0,194,468,469.0,4.0,log
285,285,128,0,0,0,0,617,875,876.0,5.0,log
286,286,128,0,0,0,0,634,283,284.0,5.0,log
287,287,129,1,126,0,0,948,894,895.0,11.0,lin
288,288,130,1,218,0,0,114,1,2.0,3.0,log
289,289,131,1,759,0,0,813,496,497.0,5.0,log
290,290,132,1,47,0,0,919,690,691.0,4.0,log
291,291,132,0,0,0,0,655,303,304.0,4.0,log
292,292,133,1,593,0,0,81,217,218.0,1.0,log
293,293,133,0,0,0,0,1023,435,436.0,3.0,log
294,294,134,1,169,0,0,203,276,277.0,4.0,log
295,295,135,1,192,0,0,256,419,420.0,3.0,log
296,296,134,0,0,1,39,575,738,739.0,4.0,log
297,297,134,0,0,0,0,980,812,,,not_found
298,298,135,1,205,0,0,589,668,669.0,3.0,log
299,299,136,1,587,0,0,26,844,,,not_found
300,300,137,1,927,0,0,925,144,145.0,0.0,log
301,301,137,0,0,0,0,755,860,861.0,6.0,log
302,302,138,1,708,0,0,655,860,861.0,4.0,log
303,303,138,0,0,0,0,856,387,388.0,6.0,log
304,304,138,0,0,0,0,497,947,,,not_found
305,305,139,1,285,0,0,845,834,835.0,4.0,log
306,306,138,0,0,1,669,839,877,878.0,4.0,log
307,307,138,0,0,0,0,813,113,,,not_found
308,308,138,0,0,0,0,655,132,133.0,6.0,log
309,309,139,1,334,0,0,436,834,,,not_found
310,310,139,0,0,0,0,575,238,239.0,5.0,log
311,311,140,1,825,0,0,498,918,919.0,4.0,log
312,312,141,1,425,0,0,750,193,194.0,2.0,log
313,313,142,1,642,0,0,681,56,,,not_found
314,314,142,0,0,0,0,808,238,,,not_found
315,315,142,0,0,0,0,893,592,,,not_found
316,316,143,1,963,0,0,137,64,,,not_found
317,317,144,1,871,0,0,933,669,,,not_found
318,318,145,1,233,0,0,971,699,700.0,5.0,log
319,319,145,0,0,0,0,203,555,556.0,3.0,log
320,320,145,0,0,0,0,505,707,708.0,4.0,log
321,321,145,1,713,1,808,865,168,,,not_found
322,322,146,1,649,0,0,895,648,649.0,18.0,lin
323,323,147,1,854,0,0,929,922,923.0,5.0,log
324,324,147,0,0,0,0,925,548,549.0,2.0,log
325,325,148,1,90,0,0,825,802,803.0,3.0,log
326,326,149,1,977,0,0,713,473,474.0,5.0,log
