,epoch,n_nodes,node_join,node_join_id,node_fail,node_fail_id,search_init,resource_to_find,search_solver,jumps,how
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
2,2.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,3.0,1.0,1.0,491.0,0.0,0.0,491.0,490.0,491.0,0.0,log
4,4.0,1.0,0.0,0.0,0.0,0.0,491.0,490.0,491.0,0.0,log
5,5.0,1.0,1.0,408.0,1.0,491.0,408.0,407.0,408.0,0.0,log
6,6.0,2.0,1.0,88.0,0.0,0.0,408.0,407.0,408.0,0.0,log
7,7.0,3.0,1.0,329.0,0.0,0.0,88.0,328.0,329.0,0.0,log
8,8.0,4.0,1.0,380.0,0.0,0.0,380.0,328.0,329.0,0.0,log
9,9.0,5.0,1.0,137.0,0.0,0.0,408.0,87.0,,,not_found
10,10.0,5.0,0.0,0.0,0.0,0.0,137.0,407.0,408.0,3.0,log
11,11.0,6.0,1.0,18.0,0.0,0.0,408.0,328.0,,,not_found
12,12.0,6.0,0.0,0.0,0.0,0.0,18.0,379.0,380.0,3.0,log
13,13.0,6.0,0.0,0.0,0.0,0.0,88.0,136.0,137.0,1.0,log
14,14.0,5.0,0.0,0.0,1.0,408.0,137.0,17.0,18.0,3.0,lin
15,15.0,5.0,0.0,0.0,0.0,0.0,329.0,328.0,329.0,0.0,log
16,16.0,5.0,0.0,0.0,0.0,0.0,380.0,328.0,329.0,2.0,log
17,17.0,6.0,1.0,148.0,0.0,0.0,329.0,136.0,137.0,2.0,log
18,18.0,6.0,0.0,0.0,0.0,0.0,18.0,328.0,329.0,4.0,log
19,19.0,6.0,0.0,0.0,0.0,0.0,18.0,136.0,137.0,2.0,log
20,20.0,7.0,1.0,309.0,0.0,0.0,380.0,147.0,148.0,2.0,log
21,21.0,8.0,1.0,316.0,0.0,0.0,380.0,136.0,137.0,3.0,log
22,22.0,9.0,1.0,34.0,0.0,0.0,329.0,379.0,380.0,1.0,log
23,23.0,9.0,0.0,0.0,0.0,0.0,329.0,328.0,329.0,0.0,log
24,24.0,9.0,0.0,0.0,0.0,0.0,18.0,308.0,309.0,2.0,log
25,25.0,10.0,1.0,439.0,0.0,0.0,34.0,308.0,309.0,4.0,log
26,26.0,10.0,0.0,0.0,0.0,0.0,148.0,379.0,380.0,3.0,log
27,27.0,11.0,1.0,383.0,0.0,0.0,137.0,87.0,,,not_found
28,28.0,11.0,0.0,0.0,0.0,0.0,88.0,87.0,88.0,0.0,log
29,29.0,12.0,1.0,210.0,0.0,0.0,316.0,87.0,88.0,3.0,log
30,30.0,13.0,1.0,347.0,0.0,0.0,383.0,346.0,347.0,5.0,log
31,31.0,13.0,0.0,0.0,0.0,0.0,309.0,147.0,148.0,3.0,log
32,32.0,14.0,1.0,109.0,0.0,0.0,109.0,346.0,347.0,4.0,log
33,33.0,15.0,1.0,273.0,0.0,0.0,316.0,379.0,380.0,2.0,log
34,34.0,16.0,1.0,400.0,0.0,0.0,383.0,17.0,18.0,2.0,log
35,35.0,16.0,0.0,0.0,0.0,0.0,148.0,438.0,439.0,4.0,log
36,36.0,16.0,0.0,0.0,0.0,0.0,109.0,209.0,210.0,3.0,log
37,37.0,17.0,1.0,150.0,0.0,0.0,383.0,108.0,109.0,3.0,log
38,38.0,18.0,1.0,133.0,0.0,0.0,18.0,382.0,383.0,3.0,log
39,39.0,19.0,1.0,172.0,0.0,0.0,88.0,87.0,88.0,0.0,log
40,40.0,20.0,1.0,394.0,0.0,0.0,383.0,393.0,394.0,1.0,log
41,41.0,20.0,0.0,0.0,0.0,0.0,329.0,132.0,133.0,3.0,log
